Gene,GH23,GH46,GH1284,GH1298,GH1332,GH1352,GH1520,GH1547,GH1603,GH1660,GH1834
AADAT,2.264239,2.475915,2.815594,2.071175,0.824513,3.271529,2.316595,1.881299,0.969193,2.779339,1.530632
GALNT7,1.535259,2.899966,1.67282,2.271481,1.923705,1.417448,2.304753,2.908374,1.955598,1.852947,2.399374
DHX15,18.50951,17.082443,14.42329,19.747021,8.102787,21.234844,12.624469,17.219437,11.600903,22.209726,4.999211
SOD3,0.909126,1.323547,0.480021,0.500499,0.714584,0.492537,7.271442,0.807474,0.240579,0.701219,0.515092
SEPSECS,1.873884,1.419393,1.736368,1.67002,1.34813,2.279678,1.94441,1.357824,1.183132,1.992478,1.161002
CPZ,0.348836,0.942962,1.295554,0.006557,1.155183,0.274724,0.48672,0.040146,0.003552,0.425506,0.022151
TRIM2,14.771667,21.645947,8.852562,19.798872,18.300426,18.08033,12.101319,13.435007,11.806958,11.183355,11.304267
SLC2A9,0.230122,0.465313,0.076861,0.65357,2.43207,0.362225,0.448303,0.552844,0.420322,0.28007,1.172119
FBXW7,15.974538,7.986882,11.125413,13.120514,6.541187,11.384316,9.867016,6.785919,7.094939,9.744011,7.049059
NEIL3,0.700507,0.029879,0.204621,0.18796,0.116356,0.103899,0.122509,0.127492,0.103426,0.136809,0.041232
TBC1D19,3.720364,5.364246,2.89118,5.263996,3.550659,3.818748,5.724931,4.443185,5.002357,4.56939,2.950412
CLNK,0.011917,0.061526,0.005579,0.135686,0.008147,0.012043,0.006156,0.006913,0.14695,0.000954,0.007009
NSD2,5.329512,5.311577,2.505283,3.744213,4.827183,5.288433,6.320047,4.864115,3.895383,3.77299,3.779142
SH3D19,1.415653,3.241226,0.838065,1.570591,2.375453,0.830479,4.981063,4.620312,1.123217,3.898519,4.550811
STIM2,2.033165,5.455579,2.508513,5.127486,2.109582,1.618279,4.279753,3.953821,4.022256,2.749969,2.346222
NKX3-2,0.008449,0.331854,0.016253,0.02785,0.029479,0.02801,0.164285,0.035903,0.022763,0,0
MFSD10,2.762916,3.525346,1.739591,2.839425,2.683302,2.085184,6.273529,2.234075,0.957726,2.591178,2.512235
GLRB,6.583159,3.655388,4.40896,7.118655,1.574175,7.143009,9.299037,8.694777,2.378034,7.456078,2.83393
BST1,0.121165,0.188493,0.278681,0.069844,0.094274,0.213251,1.025006,0.244231,0.089098,0.320289,0.085748
RAPGEF2,1.729379,4.250257,2.468888,5.63475,6.083091,6.31032,3.487313,4.212208,2.902756,3.802409,3.877982
HGFAC,0.068099,0.079054,0.162295,0.054686,0.072664,0.153877,0.072251,0.123157,0.023215,0.034175,0.29928
SNX25,9.063869,5.643888,7.339655,9.338186,5.26646,11.480221,9.334367,5.632154,2.618075,12.279629,3.899463
