Gene,GH23,GH46,GH1284,GH1298,GH1332,GH1352,GH1520,GH1547,GH1603,GH1660,GH1834
SASS6,1.239066,1.262123,1.064983,1.575528,1.010903,1.383844,1.112026,1.108487,1.420763,1.527423,0.839142
COX6A2,15.745795,1.047948,1.071656,0.226113,0.053006,9.787598,2.101365,2.937211,0.163594,0.059421,0.002409
ITGAD,0.39297,0.007835,0.050433,0.006263,0.599328,0.067299,0.012917,0.193839,0.009471,0.028279,0.015008
ADGRG4,0.006595,0.004342,0.013763,0.003358,0,0.032097,0.005473,0.020102,2.444812,0.021798,0.003966
ZIC3,0.004963,0.234066,0.031096,0.015618,0,0.014082,0.235244,0.056847,0.079649,0.006399,0.012904
MALSU1,2.045229,3.07389,2.053086,2.917685,2.396053,2.605563,2.088754,3.543862,1.661812,2.197572,2.540785
VPS8,6.997017,6.327604,6.727151,5.094184,6.314797,6.949403,8.837543,7.497289,12.405022,4.198338,6.784654
GALK2,4.17027,0.808503,3.915905,1.559427,1.293673,6.009528,0.653354,2.864765,1.966642,5.273064,0.816878
LHFPL4,2.06013,3.012196,2.31281,5.094952,2.318004,4.477508,3.684277,6.733212,2.1814,3.846396,3.260711
B3GNT7,0.816923,3.614387,1.362714,4.191129,1.831728,1.660324,2.210227,6.304585,0.716011,2.153764,5.910233
MPV17L,1.329233,1.116411,1.48051,1.378147,0.811463,1.984125,1.436332,0.789437,0.689707,1.993614,0.60446
BUB1B,0.895402,0.608193,0.214164,0.39278,0.460231,0.14056,0.177782,0.264092,0.221243,0.20265,0.390343
PDE6D,7.056004,9.31335,7.520942,7.107275,5.61125,6.961614,5.816738,7.285761,4.80463,7.776427,3.728231
EIF4A2,235.180374,161.225281,174.608093,206.046005,35.309799,360.229584,154.671387,183.484985,104.181664,177.701996,67.417419
BRPF1,2.458266,1.981129,1.538458,3.585168,2.064233,3.096159,2.523501,4.14761,1.682539,2.751538,2.032394
RPUSD3,3.731742,4.112901,2.479199,6.59873,2.706621,5.311036,5.31924,5.119961,2.583488,5.348965,3.512813
SST,0,0.399816,0,0.112613,0,0,0.034237,0,0.383337,0,0
TATDN2,2.936733,4.230535,2.305954,6.082149,2.170641,5.263949,4.733989,7.279619,2.601851,3.777644,4.589066
GHRL,0.078352,0.341657,0.083463,0.201537,0.225654,0.04348,0.429414,0.099876,0.228486,0.019078,0.441975
SEC13,47.413364,28.019646,39.905922,70.602913,25.226782,61.583588,44.033722,43.803421,19.20982,52.493587,16.649733
EXOG,2.772992,4.128178,2.74407,5.202029,1.340685,3.580282,2.529134,4.683691,3.74344,3.812623,2.590508
NTAN1,1.351518,2.36891,1.051175,0.669168,0.486945,0.493873,1.613841,0.876135,0.48449,1.04329,0.812158
SHCBP1L,0,0,0,0,0,0,0.015711,0,0,0,0
NMNAT2,6.894538,6.903314,4.716398,8.865501,8.081354,10.489771,3.414829,6.408162,4.878731,8.867042,3.921807
ZFYVE9,3.864289,7.139788,4.26972,4.384954,2.597543,6.433907,3.812739,3.505715,3.040265,4.189416,2.175144
ATP2B2,3.521853,1.581647,3.524318,0.556947,2.805596,1.209864,1.494255,2.367973,1.527061,1.719898,1.960404
LYZL4,0,0,0,0,0,0,0,0,0,0,0
SLC6A1,0.596841,0.980358,0.359937,0.863029,0.766315,0.756286,1.512748,1.537383,0.355142,1.12954,1.292849
SMG1,5.492846,5.898773,5.563465,2.92533,6.432463,6.612492,2.605616,4.3749,8.422161,3.223273,3.102126
FCHO2,3.16201,2.785989,3.841772,2.423126,2.785944,3.303353,4.099806,2.581977,1.41908,3.508094,2.600666
RBPMS,1.819506,3.078268,0.730435,1.028432,0.778779,1.30244,4.41388,2.246682,1.425465,0.407952,2.595865
TMEM171,0,0.004193,0.037171,0.038368,0.04486,0.024847,0.006177,0.40926,0.018501,0.047307,0.753743
KLHL40,0,0,0,0,0.009178,0,0,0,0,0,0.006841
C8A,0,0,0,0,0,0,0,0,0,0,0
TIMP4,17.964018,6.673029,12.989197,24.809788,4.857103,11.679515,18.993633,14.156775,5.90631,16.416489,6.034107
SYN2,0.078134,1.236023,0.476205,0.162901,0.080773,0.07361,0.110366,0.127235,0.080423,5.211685,0.079236
NRG1,1.054145,1.243059,1.295641,0.022249,2.686001,3.217169,0.232136,1.237427,1.642725,1.206477,1.561204
ODR4,6.40309,6.422365,6.136816,6.937984,4.977726,8.238092,6.277696,5.031568,3.076474,8.373523,2.810661
CPT2,5.603282,2.615787,4.307191,9.618807,2.492014,10.792722,4.091556,5.59149,3.598722,9.038246,1.558592
NECAP2,4.996377,5.548069,3.708998,4.606244,2.706321,3.537088,6.27312,5.821715,2.509767,3.01635,2.920861
LRP8,0.636425,1.566754,0.320778,1.961972,0.351259,1.335697,0.922093,3.136074,1.07146,0.424665,0.280097
CDCP2,0.006081,0.0058,0.003597,0,0.002547,0,0.006029,0.007293,0.00535,0,0.003756
PAXIP1,0.576042,0.863023,0.506825,0.826796,0.860199,0.780029,0.856337,1.348257,0.78048,0.501167,1.23228
STEAP2,10.791945,8.49116,5.075276,7.003774,8.594213,8.825095,5.812473,10.565539,6.878902,9.953957,6.118062
SSBP3,10.684545,10.938334,9.155481,12.281592,3.114537,18.172453,6.510449,6.880909,6.828204,12.992843,3.670315
HTR5A,0.016707,0.007354,0.01208,0.003206,0.246807,0.058633,0.018887,0.001669,0.001076,0.118512,0
CLDN12,19.393425,17.449608,13.364811,21.116121,13.623355,22.635963,19.04636,29.592438,11.691461,23.379288,18.677422
MMP14,1.067003,2.751452,0.442198,0.731585,1.58916,0.494475,5.601312,1.862456,0.377791,0.834025,0.436322
FZD1,0.605986,1.566956,0.328688,0.498235,0.539223,0.68549,3.606204,1.365051,0.366722,1.513758,0.710416
GATAD1,5.942322,6.886131,6.097097,8.330202,7.455526,8.604448,10.126471,13.210238,4.717669,7.915345,8.410425
SUSD3,0.246882,0.488994,0.015694,0.055697,0.125804,0.11714,0.620244,0.172605,0.022767,0.423984,0.021895
TMED6,0.154192,0.273364,0.353928,0.16496,0.285489,0.144219,0.196644,0.146552,0.30053,0.111082,0.156225
CLEC18A,0.009349,0.163916,0.045503,0.09286,0.296404,0.033122,0.044141,0.069505,0.278756,0.072934,0.119671
DHRS4,0.640584,0.868012,0.484218,0.933664,1.120965,0.880135,0.521758,1.139389,0.317569,0.581762,0.322761
C1orf158,0.142961,0.094828,0.116148,1.692108,0.054624,0.575694,0.154354,1.060673,0.143823,0.09122,0.222653
CLEC18C,0.003675,0.119918,0.009721,0.021249,0.078572,0.014674,0.016824,0.034994,0.245784,0.013402,0.071573
ARMC12,0.194096,0.27912,0.086958,0.234664,0.089575,0.098792,0.18902,0.153172,0.245529,0.09188,0.688469
DDX19B,2.153535,0.560196,0.410863,0.860685,0.378379,4.666496,0.49282,0.431429,0.632784,0.422666,0.410106
ST3GAL2,0.362423,0.94743,0.633046,0.598561,0.62025,1.046019,0.93128,0.557138,0.255982,1.363657,0.78905
FCSK,1.111044,2.250484,1.398563,2.564026,1.704232,2.456237,2.215469,1.412866,2.149266,1.600441,1.071638
IL34,0.869071,1.839352,0.873217,0.914478,0.712845,1.631284,3.909174,2.982403,1.468717,0.303987,1.94444
DHRS1,1.085956,2.198803,1.079632,1.205925,1.105998,1.746364,1.312531,1.564409,0.948645,1.403866,0.68217
CACNA1D,3.908093,7.192416,3.748369,4.408281,5.005387,3.928223,4.725315,3.5396,4.864299,3.821211,4.13862
ARSL,0.030388,0.05462,0.016872,0.006778,0.03905,0.011318,0.269814,0.065283,0.005668,0.055411,0.015556
KIT,0.561753,2.385592,0.192522,0.228328,0.167708,0.362971,0.56534,1.423733,0.258498,0.722321,0.645346
HYDIN,1.967709,1.46422,2.574697,2.575505,0.266538,2.383844,1.315086,4.118909,3.065707,2.733272,3.032888
AASDH,3.326804,3.480742,4.462175,3.831921,3.73316,4.423079,3.681213,3.505415,3.173118,3.646804,2.533309
ZNF19,1.227352,1.538525,2.76275,2.572459,1.066962,1.73323,1.785122,2.085572,2.355033,1.739139,2.178491
CACNA2D3,0.005602,0.191518,0.001124,0.109647,0.011104,0.03727,0.01673,0.067139,0.002435,0.005613,0.005593
RNF111,4.246999,5.719889,3.714042,4.73742,5.972718,6.056413,2.971106,4.804704,3.251474,5.223477,2.409196
CCNB2,0.96621,0.132295,0.243039,0.812856,0.871367,0.190939,0.3764,0.329951,0.064212,0.257537,0.048344
FAM81A,2.459284,1.730813,1.365392,0.234052,0.79044,1.616421,0.777976,1.818779,0.118274,1.340639,0.620943
MYO1E,1.391863,1.342282,0.248054,0.104888,3.344999,1.047844,1.020938,2.185467,0.087906,1.192882,0.44096
APPL1,11.204977,9.326918,8.34938,18.091635,5.036394,12.766413,11.12822,14.302382,4.928696,12.838399,5.208117
PWWP3B,0.003521,2.104935,0,6.403681,0.007779,0.012276,0.096835,4.533033,0.362062,0.00874,4.650405
AFAP1L1,0.746015,1.203516,0.430106,0.33725,0.509109,0.365882,1.217969,0.376524,0.292431,0.396248,0.474687
TSC22D3,7.626751,10.19178,6.102939,8.289725,10.447687,10.435257,33.512474,9.774493,4.330254,24.890093,6.5281
VPS26C,3.506881,5.377559,4.242828,4.862968,1.68392,5.370244,3.144914,3.267867,2.203928,5.622873,2.461525
DYRK1A,5.64393,7.611925,7.165807,5.442403,4.543551,6.460636,7.034299,4.629043,5.224729,6.620895,8.303997
KCNJ6,1.4506,0.833735,3.57031,3.321324,2.613176,5.088852,1.187887,1.132618,1.624524,3.067188,1.978027
KCNJ15,0.052825,0.029116,0.016743,7.4e-05,0.006697,0.084136,0.00954,0.004329,0.006991,0.00926,0.005258
ERG,0.487911,1.195421,0.320836,0.164409,0.394233,0.426216,1.850073,0.492991,0.285608,0.483099,0.419779
ETS2,7.376204,25.664492,5.723531,5.865631,2.335813,10.22392,5.17016,5.644153,4.301237,9.512789,2.03392
TSPAN18,0.869828,1.668057,0.249588,0.322181,0.446873,0.5798,1.449255,0.589493,0.351331,1.156967,0.437665
LCA5L,0.463298,0.344321,0.32752,1.254079,0.527584,0.570998,1.095569,0.624517,0.809996,0.654614,0.959914
SLC35B2,2.233822,3.554191,1.351589,2.185948,2.674722,2.019665,2.120639,4.038995,1.038093,1.404101,1.25061
TMEM164,5.496037,3.90861,1.948375,2.042181,1.225553,2.523826,1.297915,4.459715,1.360017,2.16446,1.79991
MX1,10.868883,29.48741,10.539111,13.658345,2.943054,12.275811,9.366618,9.942093,2.374846,8.344189,11.498079
CREB3L1,3.522611,8.301992,5.111602,6.835779,4.040833,6.833417,6.668863,4.840568,1.747582,7.544441,4.435759
C2CD2,6.448627,2.380697,2.919758,1.057862,0.314533,6.314805,6.543671,1.115576,0.280158,5.329728,1.7102
TAB3,1.136944,1.371223,0.726239,1.073108,1.05471,0.78654,0.866198,1.371464,0.577575,1.011103,1.513672
SLC38A10,16.212711,16.042955,7.397711,12.310211,11.597719,18.202185,11.843651,16.371695,9.428473,13.843442,15.103849
C9orf43,0.754184,0.260313,0.744295,0.800542,0.22481,1.100595,0.645689,0.868743,0.950337,1.275628,0.560787
PALM2AKAP2,1.557965,4.173673,0.917528,1.165289,4.353468,3.849436,4.519546,7.557123,0.705879,3.404194,0.780214
ZNF618,1.331409,1.219203,1.526118,1.676658,1.164676,2.372226,2.723011,2.921109,1.652365,1.904267,2.174586
DGKI,0.450859,1.407916,0.72538,0.445081,2.397837,0.437004,0.714331,0.926184,1.206406,0.377299,1.518643
TMEM268,1.549507,1.474684,0.968218,1.430168,1.075395,1.751412,1.641668,3.138642,0.759513,1.546466,1.267943
SVOPL,0,0.288252,0.002511,0.051678,0.000286,0.001617,0.008158,0.001114,0.001259,0,0.001714
SNX22,12.892243,8.571563,8.942295,12.374758,9.202416,12.298873,11.328946,9.800468,6.358884,16.175091,4.756752
UBN2,4.850327,5.002842,4.749825,5.095373,4.709183,6.667101,5.455697,8.55407,5.14966,5.666441,9.210324
BRAF,5.114573,13.27956,5.83828,8.744042,6.893165,8.170427,7.447398,10.641119,7.651823,8.363447,10.772007
SLC34A2,0,0.032595,0.032871,0.008346,0,0.006802,0.575067,0,0.026877,0.011673,0.003893
ACAN,0.012975,0.052129,0.005803,0.003574,0.090411,0.029806,0.119285,0.041188,0.001533,0.010751,0.005057
PSMG3,9.877169,4.122218,10.099621,12.377011,3.398475,12.09201,7.378129,11.460568,3.494883,10.948874,4.290497
CABP1,0.022036,1.166325,0.005962,0.102645,0.056977,0.008966,0.034215,0.152937,0.023796,0.015948,0.321234
WDR19,8.237049,9.388843,7.376223,8.086873,5.244942,9.466723,8.182072,10.770316,5.436953,6.656698,8.607821
SLC37A3,3.401947,7.00014,4.70404,4.83714,4.448159,5.742307,4.653816,5.428837,2.185101,4.072432,5.293129
AP3S2,4.970252,5.675793,4.510599,6.531639,6.897957,6.668794,5.218134,4.503971,5.021746,7.009096,2.869555
FMNL2,3.591876,7.514527,3.546667,5.016156,1.493363,6.283741,3.794308,5.089078,2.319434,5.208164,7.260582
GAREM2,0.631964,0.373673,0.629633,0.146075,0.304452,0.531766,0.615665,1.365776,0.066554,1.883545,1.210269
SPPL3,4.698679,5.545052,4.747846,6.51257,3.471594,8.519313,7.525968,7.74113,3.215481,7.018607,5.563425
DPYSL5,0.002372,3.498055,1.78712,0.930765,2.795651,2.743679,1.871424,2.418176,1.1055,3.106033,2.210222
DRC1,1.079067,1.196982,1.487563,0.774356,0.128288,1.886762,2.60861,4.419867,0.487725,1.26798,2.290652
RAB28,9.398997,4.255069,10.413192,7.09911,3.708263,13.051641,9.248871,7.678228,4.896535,11.794381,2.77297
PRXL2B,0.821095,0.848568,1.136416,0.812297,0.281089,2.39785,0.770213,0.756861,0.185746,1.599053,0.484611
TNFRSF14,1.905719,1.522221,2.256649,2.487154,0.34779,5.301942,1.55094,1.806584,0.675703,2.566935,1.604302
PANK4,2.337887,2.498676,1.78611,2.463524,1.212602,3.477833,2.594688,2.721223,1.088391,2.340221,1.119647
CIB4,0.020803,0.037877,0.02662,0.004755,0.005689,0.110411,0.011974,0.011352,0,0.003091,0.30568
MEGF11,0.255586,0.419587,0.442993,0.062035,0.204668,0.632191,0.252731,0.055063,0.21619,0.154205,0.198683
C12orf43,1.094916,1.121343,0.903702,1.969907,1.010436,1.52351,1.565382,1.695533,0.892712,1.161304,1.059281
PEX10,4.568891,4.209415,2.699865,5.598086,1.657347,6.038151,3.74189,5.191181,2.578189,4.435687,2.532548
RER1,16.343803,14.899892,11.952325,20.223345,5.963667,20.673376,15.474366,13.564373,8.672652,20.540384,7.875705
RADIL,0.852852,1.120085,0.517837,0.648559,0.633806,0.954399,0.660042,1.308325,0.193682,0.860491,1.497927
SKI,4.491958,6.753838,3.223619,7.144289,3.873308,7.299459,4.757349,5.638768,3.071068,4.007857,2.147163
WIPI2,11.71192,12.899881,7.322917,17.709196,8.824929,17.145714,12.962321,26.884693,8.822765,13.8995,14.641218
LDLRAP1,4.605939,2.125791,4.075442,7.768549,2.065065,7.16184,2.456124,4.583498,4.381438,6.324486,2.352422
AGAP1,3.486239,4.525858,2.86081,7.689142,2.850944,4.629825,2.885806,3.670947,2.624353,3.808551,6.010827
KRTCAP3,0.206114,4.420518,0.542826,2.161674,0.486217,0.207923,0.978617,1.360113,0.736218,0.124783,1.155461
ANKRD61,0.283365,0.477463,0.537125,0.474539,1.040125,0.293911,0.574274,0.678253,0.984355,0.268784,1.259347
PAFAH2,1.94128,2.283885,2.037635,2.787192,1.372808,3.285615,1.442129,2.619768,1.557911,2.906262,1.57347
EXTL1,0.244628,0.589025,1.066483,0.01649,0.042518,0.374506,0.210076,0.100896,0.019312,0.15525,0.234603
SLC30A2,0,0.010593,0.010098,0,0.010355,0.02937,0.059502,0.032215,0.007967,0.102005,0.017154
BABAM2,8.517764,8.768948,5.26244,8.428339,3.645179,10.317778,4.357423,4.668471,4.789113,8.019605,3.790338
TRIM63,0,0,0,0,0,0,0.009566,0.023029,0,0,0
CFAP251,2.61782,2.385478,4.241539,3.050709,1.366686,4.139373,3.657731,4.508079,2.805936,2.400294,3.910144
MRPL17,14.776822,8.132927,11.902174,15.856872,4.211924,17.866554,9.174738,13.74774,7.240834,15.046267,6.924569
DUSP2,0.228912,19.72978,0.04072,0.527666,0.02932,0.094315,0.519131,0.070892,0.059476,0.11333,0.030088
GRHL3,0,0.018593,0.007576,0.009703,0.006462,0.006024,0.029856,0.004236,0.007641,0.040787,0.101045
UBXN11,3.852727,7.765528,5.285316,8.155347,0.692687,8.556021,5.516786,4.971839,3.634215,4.66351,4.421381
NLRP14,0.096338,0.055584,0.038325,0.061082,0.006845,0.028328,0.029255,0.025514,0.030753,0.041468,0.0361
PTPDC1,3.13321,1.84801,3.122266,5.832183,0.904281,5.659979,3.046231,8.681932,3.448293,4.388888,2.955931
GALNT14,6.230458,3.285597,1.698788,6.469263,0.070285,2.484946,3.315194,0.004843,0.302411,0.697425,0.010726
NCK1,2.213625,2.888204,0.530316,0.366024,0.452181,0.404586,0.821573,2.365763,0.442116,0.319177,0.537163
HPD,0.058226,0.051458,0.073044,0.022349,0.021987,0.02081,0.027676,0.045864,0.038491,0.006327,0.164488
RHPN1,1.162093,4.662182,2.401114,2.443321,1.481951,2.558655,4.825658,2.681226,1.773029,1.979699,2.248669
TPRG1L,18.589514,13.812861,12.845884,30.807755,7.21488,28.723484,12.915962,18.768583,10.163492,22.847025,10.091599
LRRC43,0.445367,0.504166,0.407439,0.222529,0.049121,0.601416,0.154472,0.3356,0.037146,0.484502,0.334868
PRXL2C,2.849619,1.9544,1.779153,0.8115,0.820666,2.890156,1.75723,2.060287,0.482143,2.419805,1.021242
XDH,0.001062,0.295843,0.006095,0.009,0.007526,0,0.056148,0.012431,0.01936,0.540505,0.009658
XKR8,0.554375,0.892732,0.409964,1.266411,0.899756,0.513009,0.394588,1.092218,0.478331,0.497924,0.66171
CNNM4,0.913136,2.816661,0.788944,1.364652,2.998804,1.646153,1.065805,1.591291,0.953617,1.132381,1.228975
EYA3,3.330471,4.338379,2.240645,4.350666,2.130791,6.109235,2.988904,3.670579,2.788121,4.459489,1.910372
DZIP1L,0.529892,0.570985,1.511197,0.16269,0.083632,1.093417,0.333699,0.223324,0.13147,0.809728,1.512703
TMSB15A,0.143331,0.183186,0.038437,0.115425,0,0.16432,0.39374,0.44571,0.032184,0.111401,0.171662
FANCC,1.568459,1.038053,1.596912,2.60594,1.336996,2.259865,2.23874,3.454568,1.529776,1.51385,0.797486
MRAS,3.227147,3.713526,1.952657,1.934188,2.203966,2.41622,2.315234,2.418381,2.754506,3.551546,2.741975
WASF2,5.017894,6.062092,3.518575,3.859918,2.660909,6.603285,8.367223,5.207589,2.69976,6.840234,3.140153
ABHD3,3.136963,5.360492,3.355978,2.512635,1.60392,4.164027,4.847816,1.959837,1.85382,3.092721,1.821962
ESYT3,0.618497,1.147477,1.432932,0.537351,0.513422,1.301348,0.271275,1.183359,1.285447,0.978617,2.211126
FAIM,5.318314,4.377072,3.268296,5.237426,2.169829,5.741018,3.426436,4.529543,1.415562,5.687379,1.989023
TENT5B,0.028851,0.582263,0.073625,0.038027,0.067204,0.302443,0.172268,0.064066,0.024757,0.113777,0.089775
CLSTN2,2.293019,2.556104,1.904743,1.145179,14.97962,2.46733,7.05559,2.464203,5.182311,2.189775,0.289869
COLEC12,0.033682,0.18809,0.03312,0.013851,0.418321,0.0273,0.687359,0.020809,0.026959,1.043124,0.534774
RNF207,0.320781,0.984094,0.473484,0.839972,0.356011,0.245012,1.07729,0.201304,0.250768,0.221084,0.626669
CUL4B,33.305485,18.153234,22.989868,29.328421,19.958429,40.349865,18.921383,33.875561,10.027914,41.321499,21.835585
GPR153,1.41933,2.52808,0.587878,1.13555,0.626713,1.952641,0.886466,1.578081,0.536001,2.469842,0.613469
SLC13A3,0.159143,0.304828,0.051919,0.066386,0.303085,0.094838,0.25444,0.389432,0.194909,0.118836,0.583611
GPRASP2,16.012518,11.881308,10.321337,16.921164,8.218273,20.546593,10.742235,18.147762,5.358726,22.749104,7.490362
RHBDL2,0.090847,0.385124,0.159613,0.181651,0.127927,0.181112,0.202072,0.180853,0.315386,0.088473,0.491396
AUTS2,8.413871,6.029126,6.117197,3.738551,4.586096,5.50675,7.116692,4.73665,3.326591,6.197867,6.757051
SHROOM4,0.381197,0.452765,0.079324,0.180746,0.092895,0.141446,0.839421,0.136458,0.053797,0.392952,0.292054
H2BC5,28.613981,22.824049,6.248169,27.994053,13.442377,9.936664,19.383358,54.374229,19.550539,5.581437,15.992178
CDC25C,0.148682,0.046321,0.035698,0.271196,0.056295,0.037923,0.052458,0.027779,0.036354,0.011521,0.039724
H4C8,16.821951,13.047844,9.755606,24.49379,32.433823,12.27705,14.239594,21.499685,5.254999,8.72579,6.376356
MITD1,3.67923,3.88551,2.344977,3.255843,1.803843,3.571202,1.323611,2.260743,2.120409,4.835569,2.261272
EIF5B,7.295609,7.098668,4.858254,8.705663,6.131285,10.856689,5.484819,6.969516,4.153518,10.294372,5.800521
RIBC1,0.593038,1.111322,0.670838,1.7561,0.170865,1.019626,0.565778,2.063925,1.484287,0.834835,1.87656
TMSB15B,0.394474,0.800989,0.158612,0.533434,0.228053,0.150174,0.459173,1.231945,0.020499,0.881863,0.667857
CATIP,0.268277,0.1301,0.33756,1.178037,0.001656,0.366178,0.303198,0.355251,0.364639,0.263637,1.250435
CNOT11,5.723236,5.849719,3.938154,5.116013,4.042195,7.286257,3.829807,4.701566,2.616932,5.787801,3.211826
KCNB1,2.953062,1.447926,2.307599,4.937662,1.561838,2.390234,4.364058,4.151317,0.573847,3.775003,8.085712
TSPAN33,0.160366,5.819206,0.857063,5.34783,0.256649,1.503545,3.404457,11.674709,0.709944,0.461416,7.374333
NRG2,0.014147,1.204787,0.158723,1.056083,0.918726,1.438534,0.452319,1.317737,0.588342,0.804361,1.136201
AHCYL2,4.245152,10.769405,3.443641,7.973782,3.810138,7.203907,5.631666,16.40312,6.418465,6.107572,7.8584
B4GALT5,2.814332,5.075578,2.681587,1.96916,3.150054,3.31136,4.887766,6.111344,1.509397,4.706454,2.072156
CD1D,0.11998,0.131929,0.083321,0.09276,0.053826,0.168324,0.58568,0.095968,0.145128,0.05662,0.045627
CD1A,0,0,0.011899,0,0,0,0,0,0,0,0
SPATA2,1.074535,1.508343,1.022102,1.489838,1.763076,1.798563,1.516829,2.046812,1.023451,2.31024,1.394976
CD1C,0.093175,0.190492,0.062535,0.008465,0.004955,0.044648,0.624142,0.04765,0.038855,0.007772,0.048001
CD1B,0,0,0,0,0,0,0.012778,0,0,0,0
DNAH3,0.003224,0.047112,0.009214,0,0.022781,0.011791,0.068253,0.000853,0.018355,0.011151,0.018606
CD1E,0.023759,0.007731,0.012111,0.014621,0.03288,0.007039,0.551876,0.005685,0.018812,0.009804,0.016815
HMHB1,0,0,0,0.081828,0,0,0.028023,0,0,0,0
CPA2,0.100874,0.018061,0.024369,0.082887,0.001087,0.015821,0.020759,0.222031,0.046742,0.016453,0.003199
NCF1,0.540336,0.115247,0.23501,0.048761,0.21323,0.266677,0.851504,0.302535,0.198034,0.092903,0.370945
CPA5,0.173505,0.028564,0.104461,0.344979,0.061939,0.101917,0.112811,0.369086,0.124655,0.100587,0.312319
TSR2,6.157799,5.957335,4.299502,10.29817,5.81389,10.416013,5.465892,13.0061,4.422975,9.021123,7.040969
PPP1R9A,4.713217,5.529118,4.204131,5.002075,4.645924,5.448384,4.390095,6.164107,4.718759,4.105819,5.233566
ZC3H18,4.019023,5.331925,3.25197,6.062178,3.565798,6.587094,5.379577,5.020956,2.878605,5.160734,3.170191
ZFAND2B,5.019812,5.581841,4.478169,8.271141,3.241902,9.21538,4.777656,4.458982,3.011452,6.293198,4.5061
POM121L2,0,0,0,0.030618,0,0.006289,0,0,0.006565,0,0
GDPD5,0.602028,1.383517,0.73934,0.043821,0.808499,2.292027,2.34105,1.47154,3.8079,1.375363,1.411491
DYNC1I1,14.003897,13.579748,11.305637,14.787849,7.155241,21.603596,9.628324,17.243309,5.243106,15.555138,3.431143
PFKFB1,0.049885,0.106043,0.130874,0.162479,0.10988,0.104822,0.052589,0.21311,0.160442,0.071294,0.351439
ALAS2,0.287632,0.367447,0.883806,0.040597,0.024844,0.63917,0.069944,0.055173,2.019305,0.206931,0.140773
TMED4,28.526863,27.629526,17.019505,35.214954,17.142878,33.319012,49.350616,50.430779,13.92096,32.385681,22.01721
PPP1R15B,6.69684,10.581587,5.242938,8.069431,6.194886,9.805065,6.961949,6.593553,3.514781,9.242591,3.288493
COPG2,5.078546,8.187225,3.839938,7.553067,4.030732,9.45351,6.692402,9.908792,6.64083,8.950948,4.554491
EMSY,2.97947,3.555608,2.574666,3.000719,2.191344,3.642388,2.78065,2.780026,2.682535,3.028367,3.931886
PAGE5,2.009255,0,0.022144,0.104186,0,0,0,0.232154,0,0.015184,0
GPAT4,4.13286,4.256275,1.974045,4.49586,3.189355,6.897128,5.847106,7.12948,3.159637,5.613085,3.47192
PKD1L1,0.032487,0.16114,0.031035,0.018577,0.059115,0.088133,0.123565,0.029217,0.02068,0.016843,0.28548
ZSCAN12,1.798462,1.5218,1.413883,2.012391,1.934907,2.21152,1.44732,2.015433,1.106331,1.768573,1.339386
TAGLN2,13.515507,9.073812,5.324053,14.15897,3.530771,9.720469,25.071945,17.835276,2.357036,7.004138,7.240441
ELK4,6.059622,4.809514,3.849511,4.349786,3.266209,7.499259,4.207249,5.256846,2.854553,8.925329,2.907004
SLAMF8,0.25978,0.048097,0.043631,0.078254,0.089967,0.09094,0.698901,0.110883,0.043379,0.045627,0.035296
SLC45A3,0.033702,0.511946,0.077419,0.509728,0.708356,0.098542,0.258271,2.438858,0.353045,0.029405,2.984931
DUSP23,1.432214,2.419646,2.109205,3.59635,1.446696,1.345398,4.00823,2.974103,0.193131,1.36261,1.323646
RNF166,1.76005,2.37317,1.200622,1.973173,1.851164,2.195085,3.267228,2.543132,1.145905,2.662661,1.338386
NBL1,17.670658,18.118925,15.757666,18.363398,23.303823,31.716579,30.308064,12.268588,5.683079,20.718723,6.120714
HTR6,0.075565,0.080434,0.09987,2.62055,0.005182,0.138887,0.44772,0.329632,0.047809,0.328126,0.146202
ITLN2,0,0,0,0,0,0,0,0,0,0,0
F11R,0.932471,7.132956,0.638454,5.888447,5.001554,0.965974,1.97985,6.459035,2.351567,1.298387,2.609878
USF1,5.097627,5.856376,5.587754,6.927775,5.173885,5.740476,6.063478,3.653214,2.323451,4.791704,2.425982
PLA2G2F,0,0,0,0,0,0,0,3.4e-05,0.002705,0,0.00086
SPATA2L,2.605213,9.696187,1.118687,4.156606,2.473546,2.978962,1.932215,2.645733,1.523179,1.815997,0.751575
NIT1,5.049202,5.773966,5.071695,7.502892,4.603649,8.67557,6.423387,5.944917,2.680678,7.176639,2.727202
DEDD,2.491772,3.069924,1.574402,3.514803,2.389347,3.299997,2.303773,2.600868,1.266916,3.059028,1.526633
ZNF276,0.881687,1.535995,0.904079,1.208752,1.374826,1.314454,2.263255,0.801533,1.085642,0.791428,1.12683
NPM2,0.338355,2.709457,1.163442,1.84544,1.185452,0.277464,0.283344,1.180818,0.967188,1.433438,2.269756
EDA,0.040115,0.180739,0.131566,0.280796,0.291537,0.018244,0.50386,0.657927,0.094521,0.105278,0.748036
FGF17,0.005806,0.662417,0.185636,0.243008,0.14526,0.033427,0.068373,0.087091,0.20963,0.344391,0.598584
VWA5B1,1.826761,0.982498,1.671636,1.094375,2.209697,2.40714,2.25976,0.626179,1.319986,2.318716,1.281615
CDA,0.307555,0.07235,0.136137,0.073697,0.160978,0.230792,0.674326,0.287719,0.070754,0.498351,0.062143
PINK1,2.405323,3.6286,1.932712,3.633843,2.654247,4.341901,3.537437,3.744789,1.848354,3.616518,2.756446
