"","logFC","logCPM","PValue","FDR","sig"
"ARL1",-0.614173782741625,8.28420070664824,0.00575739360164702,0.134639963269584,"Down"
"MAGED4B",-0.950762764339058,6.3081088704981,0.00580876913522594,0.135466009933377,"Down"
"NINJ1",-0.855583591500796,6.61509413476224,0.00580920434525679,0.135466009933377,"Down"
"CERCAM",-0.777620765341539,6.69355539579635,0.00581823417694351,0.135466009933377,"Down"
"OSBPL1A",0.993709146016114,5.85945724704453,0.00582485363867496,0.135466009933377,"Up"
"NACAD",-0.761099976693576,6.16469560982231,0.005835140612542,0.135518327641971,"Down"
"CMYA5",1.55320898836955,4.58462546868636,0.00585616358998391,0.135819496961099,"Up"
"EYA1",1.18117621466459,5.21274648407798,0.0058700373755068,0.135954258500577,"Up"
"BEX1",-0.801278774862228,9.57658159562342,0.00589924455947446,0.136346530166868,"Down"
"GORASP2",-0.60675497967205,7.29028457906797,0.00590314732351662,0.136346530166868,"Down"
"TMEM45A",-0.801380036307146,6.09464924266546,0.0059210516118915,0.136572983896173,"Down"
"AMOT",0.939575815889619,5.44346555823084,0.00593772787582413,0.136770532396545,"Up"
"BPIFB4",2.48028074685043,4.31976820035126,0.00596550716384716,0.137222941732097,"Up"
"H1-0",-0.995689729827513,7.71758182682022,0.00600089218299922,0.13784883255797,"Down"
"LPAR1",1.95205771722968,4.27298191379321,0.00603112320632165,0.138354786913999,"Up"
"YIPF5",-0.750112495545725,7.13843221398557,0.00604727180147083,0.138355446087575,"Down"
"CLEC3B",1.22594500809478,5.10436350735022,0.00604756323863016,0.138355446087575,"Up"
"KRT17",2.27530725599235,4.18261116683147,0.00606029953975245,0.138458957370957,"Up"
"CYP1B1",1.98954236094603,5.01226726015154,0.00613926208299159,0.138658650829564,"Up"
"POLR2J",-0.708806489916431,6.42835639579911,0.00613929849240454,0.138658650829564,"Down"
"LAMC2",1.66061580453879,4.56643182530876,0.00614952832502046,0.138658650829564,"Up"
"ITPKB",1.55833992660783,4.5273551861317,0.00614952832502046,0.138658650829564,"Up"
"ARL4C",1.51095912955548,4.56037488598959,0.00614952832502046,0.138658650829564,"Up"
"RPL24",-0.880406380600044,10.8180568993919,0.0061583796351693,0.138658650829564,"Down"
"BCHE",2.74677054224042,4.105551276045,0.00617594726131324,0.138658650829564,"Up"
"CRHR1",2.63207728698368,4.10888099591239,0.00617594726131324,0.138658650829564,"Up"
"LRRTM4",2.56937531637184,4.06379643461491,0.00617594726131324,0.138658650829564,"Up"
"DDIT4L",2.49783085060014,4.11929794324687,0.00617594726131324,0.138658650829564,"Up"
"FREM2",2.31037568423368,4.09953437567807,0.00617594726131324,0.138658650829564,"Up"
"CNTN5",2.30886972352663,4.08653102961303,0.00617594726131324,0.138658650829564,"Up"
"UST",2.21985939817792,4.11237064253386,0.00617594726131324,0.138658650829564,"Up"
"MFAP5",2.78365467274443,4.07858891750543,0.00621405182170796,0.139328627348162,"Up"
"SEC23A",-0.961737991208218,6.87667732108398,0.00623640914759494,0.139518705501208,"Down"
"FAM210B",-0.724570592020246,6.78664396999955,0.00623907858062455,0.139518705501208,"Down"
"OSTM1",-0.889635620905676,6.29799679763205,0.00629143195455882,0.140357939835879,"Down"
"FAM98A",-0.7213818985321,6.61348389276856,0.00629325677693637,0.140357939835879,"Down"
"LAGE3",-0.766496307159567,5.77819698363271,0.00632157202222888,0.140803204579658,"Down"
"CNNM1",-1.34945526323057,5.00558040133774,0.00633890572578626,0.141003020372668,"Down"
"NAMPT",0.871044510444114,6.43044572277775,0.00636141538150933,0.141130357126209,"Up"
"ITPRID2",0.705457841190331,6.24363816476075,0.00639789694457258,0.141130357126209,"Up"
"FOXL2",1.6846260192104,5.12796781045631,0.00639999651870578,0.141130357126209,"Up"
"RPL35",-0.869361456705787,10.2127070836506,0.00643048431643473,0.141130357126209,"Down"
"RASSF2",1.62858152456479,4.58471870615095,0.00643483710126281,0.141130357126209,"Up"
"COX7A1",-0.878922430683404,8.00491789990548,0.00643752411197815,0.141130357126209,"Down"
"DYRK1B",-0.932073414234974,5.34214418495773,0.00645017558765727,0.141130357126209,"Down"
"TRPS1",1.06946344083784,5.02197997406514,0.00645503540708228,0.141130357126209,"Up"
"ZNHIT1",-0.67321406732934,7.04255181004674,0.00647394123944867,0.141130357126209,"Down"
"AL034430.2",-0.801592079637835,6.73385791286964,0.00649247690428113,0.141130357126209,"Down"
"PKP3",1.64070640079134,4.61570374755024,0.00649267189919925,0.141130357126209,"Up"
"CHST15",1.55729808740931,4.58616481740776,0.00649267189919925,0.141130357126209,"Up"
"CHRNE",1.51736821273276,4.61427131368973,0.00649267189919925,0.141130357126209,"Up"
"NTN4",1.5097502637668,4.60160222794564,0.00649267189919925,0.141130357126209,"Up"
"TCIM",1.46190397768886,4.57845545015183,0.00649267189919925,0.141130357126209,"Up"
"DIPK2A",1.45705202002279,4.58024507841804,0.00649267189919925,0.141130357126209,"Up"
"TFPI2",1.37467283466836,4.58859311773212,0.00649267189919925,0.141130357126209,"Up"
"SLC5A3",0.802305864128267,5.35359545182992,0.0064952942963014,0.141130357126209,"Up"
"GSTM1",2.04020746544291,4.43699671497748,0.00651086495591782,0.141286607492575,"Up"
"TCEAL2",-0.543036163593655,7.9587067413471,0.00658372291336528,0.142684000054308,"Down"
"RUFY3",-0.8072159604887,7.41913076826005,0.00660824675127311,0.142905550210037,"Down"
"RPS29",-1.3914863019039,8.9488008931566,0.00661089669437335,0.142905550210037,"Down"
"PRR5",-1.10285897784104,5.7476453526285,0.0066829500359375,0.144278131313626,"Down"
"COPS7A",-0.61957680779516,6.82596182178422,0.00670035892795561,0.14446899217936,"Down"
"CH25H",2.63663472998218,4.09152376964724,0.00671482019070118,0.144595891743822,"Up"
"SLC9A3R1",1.2343598850504,4.98166593615802,0.00675755878946462,0.145330610649443,"Up"
"PRKACA",-0.715096599321488,6.51381268898799,0.0068411334165772,0.146544120316344,"Down"
"ENPP6",2.12891378703199,4.25461898655106,0.00684758747707427,0.146544120316344,"Up"
"AD000671.1",-0.706808744240525,5.91959390198575,0.00686373478159982,0.146544120316344,"Down"
"LRIF1",-1.02846405950408,5.38997880262862,0.00686436161581386,0.146544120316344,"Down"
"FDX2",-0.997698125733329,5.38523986281415,0.00686436161581386,0.146544120316344,"Down"
"ETV5",-0.73418170740634,7.01715326132915,0.00686613220152495,0.146544120316344,"Down"
"MT-ND2",-1.43561389968571,12.631248430608,0.00691464328548018,0.147159275841272,"Down"
"VCAM1",1.42161972778848,4.6968258304136,0.00692640048530107,0.147159275841272,"Up"
"AGTR1",2.52765261878128,4.00648787545644,0.00692846403834954,0.147159275841272,"Up"
"DLG4",-0.782511842352254,6.33515082739416,0.00692986566739637,0.147159275841272,"Down"
"PRRX1",2.10893309929202,4.33276065425785,0.00695556471578511,0.147191438097989,"Up"
"SERF2",-0.761745397863197,7.8409200210016,0.00695816915042526,0.147191438097989,"Down"
"ENHO",-1.69312692367011,4.84442347838694,0.00696257437210386,0.147191438097989,"Down"
"DPY19L3",-0.857048703449868,6.4004400404447,0.00696629900967884,0.147191438097989,"Down"
"AL031178.2",-0.682040131749813,6.81845820587252,0.00700808858763501,0.147889088455712,"Down"
"DDR2",1.32426646214189,4.72038148270799,0.00703730592336422,0.148320018967305,"Up"
"FNBP1L",0.955032202034007,5.31554978650238,0.00708846394573177,0.149211723581752,"Up"
"RFK",-0.771737790286995,6.42237368228139,0.00710598437211363,0.149361864383056,"Down"
"ABCA6",1.63603337317908,4.39810219069501,0.00711331339182692,0.149361864383056,"Up"
"YIPF3",-0.608108847044652,7.30669046904535,0.00712287893170461,0.149376693616258,"Down"
"LEPR",1.68908693542383,5.22267289461896,0.00715865574884244,0.149880069013344,"Up"
"CDC42EP4",-0.889848154363617,6.88271350346688,0.00716466019955846,0.149880069013344,"Down"
"C19orf81",-1.47128769618516,4.78422891952324,0.00726905495640345,0.151793399756389,"Down"
"RPS5",-0.835904327178353,9.07744530124345,0.0072777685535542,0.151793399756389,"Down"
"MYH9",0.867130905590516,6.90864458396158,0.00728990117652359,0.151793399756389,"Up"
"SLIRP",-0.768155876969438,7.2089470699939,0.00729213295787174,0.151793399756389,"Down"
"TMED2",-0.647908763589365,8.66827192661805,0.00731315187407866,0.152043222871566,"Down"
"AHCY",-0.758171907640748,6.49331255841173,0.0073270994189725,0.152145595201103,"Down"
"HINT1",-0.98004544188795,8.55010273531983,0.00737089649122595,0.152866772126151,"Down"
"PLBD2",-0.771819366629694,7.12563274505686,0.00738137400645397,0.152896003836389,"Down"
"LARGE1",-1.16072268531393,5.37408033451262,0.00740481724555383,0.153193403162311,"Down"
"PHACTR2",-0.925814615575859,6.41778055447511,0.00745831447427165,0.153593419255092,"Down"
"MISP",2.09905697106733,4.33502482927413,0.00747100381801071,0.153593419255092,"Up"
"KRT7",1.95338990622601,4.31585504239821,0.00747100381801071,0.153593419255092,"Up"
"RBM47",1.90064920731726,4.32281596602327,0.00747100381801071,0.153593419255092,"Up"
"CHL1",1.64112882282613,4.29388986803192,0.00747100381801071,0.153593419255092,"Up"
"CD63",-0.785697328170193,9.44450190930893,0.00747880892049287,0.153593419255092,"Down"
"MYG1",-0.687545466097076,6.18511547104332,0.00749562724935083,0.153751546291124,"Down"
"SAMD11",1.30976996072231,4.90455244274812,0.00751249084786764,0.153910216507772,"Up"
"MRPL53",-0.947377585043481,6.47095134082892,0.00757808215867058,0.155065586501632,"Down"
"CNN2",1.23961055232171,5.03474259937877,0.00759276127962235,0.15517763386147,"Up"
"NDUFA8",-0.684811092914431,6.69698137839671,0.00760479060410038,0.155235320067478,"Down"
"H2BC11",-1.20608555941506,5.34272488079319,0.00764283950892598,0.155823357871827,"Down"
"CHN2",-1.62143091427131,5.0727628859662,0.00765237991262599,0.155829441674863,"Down"
"GSTM4",0.966644043686144,5.25467446880809,0.00771361160073291,0.156886857901035,"Up"
"TGFBR2",0.991814534071078,5.71439198664828,0.00777071051961143,0.157857771170082,"Up"
"BAX",-0.756375084027005,5.76789145648934,0.00779215149304347,0.158102847562221,"Down"
"TMEM150C",-1.10690215431894,5.83108956066176,0.00780335989363559,0.158139965344459,"Down"
"TGIF1",1.95321505484382,4.2312867299736,0.0078451594889636,0.158796199451879,"Up"
"A2M",1.16542404807714,7.64981423157433,0.00788478870988414,0.159304652262641,"Up"
"KRT8",1.01411004152422,5.68241811129662,0.0078891752944253,0.159304652262641,"Up"
"DYNLT3",-0.720489402799807,7.0421274414003,0.00790018742844947,0.159336196448668,"Down"
"LSM10",-0.734278395906652,5.73641593260487,0.00790970049209276,0.15933746714119,"Down"
"HSP90AB1",-0.526864642081561,10.1606697689514,0.00802674774636481,0.16132600797112,"Down"
"REC8",-1.13211871104459,5.83050752145538,0.0080275500081709,0.16132600797112,"Down"
"DLGAP1",2.64127969861683,4.04477682610439,0.008057670122019,0.161738542770669,"Up"
"C3orf14",-0.798295509406573,6.06011296693921,0.00806811537049136,0.161755640025987,"Down"
"PCM1",0.578123868933632,7.25867802099797,0.00808539617445784,0.161909578263104,"Up"
"PTPRN2",-0.677132259765135,7.31486025781334,0.0081154136857665,0.16231790054058,"Down"
"RPL36A-HNRNPH2",-0.660504259560611,9.04169670590539,0.00814457692842756,0.162708189087935,"Down"
"BNIP3",-0.773448318864255,6.55151066858661,0.00819878134617153,0.163447567161624,"Down"
"NDUFB9",-0.760548854148121,7.00806273054884,0.00820097513900326,0.163447567161624,"Down"
"ENAH",0.899493854380044,5.43392968891074,0.00821097703220006,0.16345369981101,"Up"
"PON2",0.799440048131437,5.70990336106186,0.00825115009733197,0.164059719093295,"Up"
"CCN3",1.51890340445508,5.84625293691836,0.00828458853478773,0.164342378588886,"Up"
"PDXP",-0.716113595202657,6.11580263982876,0.0082848598422723,0.164342378588886,"Down"
"ADM",1.26167407333028,4.80722483515236,0.00830883990050467,0.164504271871805,"Up"
"CLIP3",-0.813696699121027,7.04022775803906,0.00831253422897678,0.164504271871805,"Down"
"CUTA",-0.615745661103512,7.70587431243915,0.00837596974927844,0.165565329358246,"Down"
"TSPAN13",-0.667636753725789,8.51503817276156,0.00842880096288581,0.166354165099607,"Down"
"PGAM1",-0.751483544039805,7.92492411222897,0.00843927883619672,0.166354165099607,"Down"
"ADAMTS14",-3.28210654003223,4.27991331514929,0.00844547567316667,0.166354165099607,"Down"
"APOL2",-0.823365458400191,6.80727376138803,0.00846632115297809,0.166539707636631,"Down"
"P2RY1",2.00674974703916,4.15182422605447,0.00847464973324415,0.166539707636631,"Up"
"MT-CO3",-1.0434117718669,13.899727581353,0.00853162462606003,0.167464170919672,"Down"
"ANLN",-2.38666498560136,4.31941695497062,0.00860311405774248,0.16867105363674,"Down"
"HOMER1",1.71464474650994,4.87705156151411,0.00861924246881289,0.168790995663942,"Up"
"EDIL3",-1.78149977451637,6.65986335470345,0.00864855843494934,0.169102720340466,"Down"
"TAF13",-0.947776454682323,6.90105164759573,0.00866506178120348,0.169102720340466,"Down"
"COL21A1",1.77196189062411,4.33986985077437,0.00867527745059623,0.169102720340466,"Up"
"ITGB4",1.70823207244954,4.38979413714129,0.00867527745059623,0.169102720340466,"Up"
"MRPL51",-0.678401900253376,7.1707598314351,0.00871698839631662,0.169719562760155,"Down"
"NOX4",-2.84419376045857,4.66757131051517,0.0087276318988721,0.169730797516589,"Down"
"RPL8",-0.772126356381506,9.85608810544982,0.00878106452539347,0.170573190049147,"Down"
"PBX1",0.679852804999945,6.53657613269752,0.00888279244609917,0.17235070590757,"Up"
"ISCA1",-0.620868473018666,7.22839679785566,0.00891398657561475,0.172757158220046,"Down"
"DNAJB9",-0.765410270210659,8.09327302534064,0.00893534146358967,0.172972207138445,"Down"
"SYN1",-0.698261888306885,6.30847293811255,0.00896266735081985,0.173257717321615,"Down"
"MT1E",1.21694730634545,5.06593222856791,0.00897531468747491,0.173257717321615,"Up"
"TMEM147",-0.658330365645957,6.81057287208787,0.00898091720177282,0.173257717321615,"Down"
"SCAF1",-0.679487720985597,6.10216366599518,0.00902566091137297,0.173613267392039,"Down"
"KLB",-2.87431675369752,4.4929153598812,0.00902999369581607,0.173613267392039,"Down"
"NET1",0.993950618980796,5.13080366312811,0.00903023756021697,0.173613267392039,"Up"
"PRR29",-1.24273818848829,5.09122271701931,0.00906295999390194,0.174043927627768,"Down"
"AQP1",-1.40945146117594,5.65883854093642,0.00911068756535709,0.17476143690499,"Down"
"BEX2",-0.656727166894489,8.16074659649353,0.0091238484058764,0.174815009058502,"Down"
"ANAPC11",-0.712364492154722,6.48502099972862,0.00915133506784384,0.17514263402828,"Down"
"SYT13",-0.756819515837884,6.90355099614346,0.00918060931379908,0.175416498418456,"Down"
"CLPTM1",-0.654755651672162,6.85056987708705,0.00918645205524565,0.175416498418456,"Down"
"FKBP8",-0.492857825973154,8.19172798436447,0.00922854524361045,0.176020929131805,"Down"
"NR4A3",1.82573657093859,5.39516985204032,0.00927076822178318,0.176626466652527,"Up"
"MT-CO1",-0.885189001871717,14.2365903981188,0.00934992173681327,0.177782715807203,"Down"
"RPL13A",-0.651794884444489,10.5496870927855,0.00935254545525112,0.177782715807203,"Down"
"ELOC",-0.708112970469276,6.12388481466438,0.00937995962405243,0.177926918638037,"Down"
"MCOLN1",-0.913512654365267,6.1657865616826,0.00938123662115026,0.177926918638037,"Down"
"BCL7B",-0.680363585421502,6.50119573767094,0.00942745862738162,0.178520762880725,"Down"
"HES6",-1.11615921690593,6.22840479968091,0.00945131817708668,0.178520762880725,"Down"
"CCR10",-1.1382516913047,5.06347743886959,0.00947910590619971,0.178520762880725,"Down"
"LAMC1",0.951518593010204,5.35603321970388,0.00948516591648494,0.178520762880725,"Up"
"GRIA4",2.28864626577458,4.15802194593038,0.00950783732085233,0.178520762880725,"Up"
"TDO2",2.24245303280494,4.15363481501626,0.00950783732085233,0.178520762880725,"Up"
"FOLR1",2.10734936079669,4.1959894038971,0.00950783732085233,0.178520762880725,"Up"
"LMOD1",1.9463985082644,4.16868731853944,0.00950783732085233,0.178520762880725,"Up"
"GLDC",1.86291881156847,4.17694423008694,0.00950783732085233,0.178520762880725,"Up"
"SYMPK",-0.723731818101635,6.22595833519612,0.00954187177441231,0.178960511666703,"Down"
"MRPL57",-0.739477087587256,6.40769339709719,0.00957361019901844,0.179356268406278,"Down"
"PMM1",-0.904009324441391,5.462148999789,0.00961939640229324,0.179888059233561,"Down"
"STRAP",-0.610470709370509,7.84903663088088,0.00963058859714586,0.179888059233561,"Down"
"CRYBG3",1.59161555265735,4.42433401885541,0.00964467146356319,0.179888059233561,"Up"
"LHFPL1",1.59100632287888,4.43864707245363,0.00964467146356319,0.179888059233561,"Up"
"CPSF7",-0.654686294280184,6.88032830802328,0.00969240510675786,0.180039964252563,"Down"
"CNIH1",-0.796354039890563,6.41773336449329,0.00969322545274537,0.180039964252563,"Down"
"UACA",1.03629808045339,5.05555717601307,0.00969552740296109,0.180039964252563,"Up"
"PHLPP1",0.959591002838863,5.04432413353276,0.00969552740296109,0.180039964252563,"Up"
"CHI3L1",1.6744342333997,4.99880000621499,0.00972409133312522,0.18037173153776,"Up"
"CLIC4",0.988224560905065,5.57549195479495,0.00974284814680342,0.180521057805772,"Up"
"DTX3",-0.778845947996957,6.29508696341392,0.0097779373185366,0.180972339328041,"Down"
"ADGRL3",2.97973247716964,3.98721170493785,0.00984308476222668,0.181885861123893,"Up"
"PSD3",-0.741063792673612,6.7547461340642,0.00985556067562245,0.181885861123893,"Down"
"GOLGA8B",1.23502927308743,5.14009802811025,0.00985965702314444,0.181885861123893,"Up"
"PHPT1",-0.791493105612648,7.4335851126192,0.00988250059291062,0.182108024586957,"Down"
"SPCS1",-0.628559389740485,7.27880397049024,0.00990517051710435,0.182326506647267,"Down"
"AK5",-2.29588059204721,4.96781870632136,0.00994577494029718,0.182874276192313,"Down"
"IDS",-0.52292053404439,8.23788126814831,0.00999005008794835,0.183257604193004,"Down"
"FCGR2B",2.55708111267019,4.11162278168486,0.00999542830836311,0.183257604193004,"Up"
"CAP2",-1.12328545815262,5.26671741748485,0.010011742754462,0.183257604193004,"Down"
"MRPL41",-0.644477066001791,6.69814580026569,0.0100208571663048,0.183257604193004,"Down"
"IGSF8",1.17201938402603,5.05270277015264,0.0100209661980873,0.183257604193004,"Up"
"MAN1A1",1.09302523231104,5.14177192042856,0.0100556521306713,0.183692687513812,"Up"
