Geneid,0P1,0P2,0P3,20P1,20P2,20P3,8P1,8P2,8P3
HIS6,725,777,918,373,439,408,340,395,368
HIS7,2816,3181,2840,1612,1964,1893,1765,1501,1176
HIT1,113,90,128,81,108,129,166,196,86
HKR1,1390,1263,724,995,1044,1176,1261,1078,981
HLJ1,641,564,577,608,671,688,912,744,797
HLR1,934,805,538,753,718,515,1306,1021,1061
HMF1,1851,2175,1886,1877,2404,2193,2070,1876,1444
HMG1,3472,2832,2325,4158,4009,3673,3737,2572,3150
HMG2,3689,3367,2994,4022,4129,3619,4269,3838,3042
HMI1,569,422,386,519,636,574,616,573,556
HMLALPHA1,18,11,3,0,1,3,9,0,0
HMLALPHA2,2,3,1,1,0,0,0,1,0
HMO1,4930,4697,4829,5402,5181,4258,6021,5384,5177
HMRA1,0,0,0,0,0,0,0,0,0
HMRA2,0,0,0,0,0,0,0,0,2
HMS1,770,603,618,3180,3354,3321,4191,2651,2643
HMS2,2031,870,673,4960,3982,3391,4905,1981,3239
HMT1,4287,4311,3612,1889,2100,1993,1488,1334,1178
HMX1,297,523,382,860,731,766,823,928,757
HNM1,4621,4892,5232,2068,2438,2024,2754,2474,2122
HNT1,5504,6375,5240,7859,9872,7967,9878,8512,7441
HNT2,1263,1514,885,1260,1434,993,1624,1511,1267
HNT3,311,539,300,150,426,428,298,232,322
HO,4913,4687,4605,545,762,731,1126,751,754
HOC1,1233,1061,810,1198,1391,1036,1909,1762,1584
HOF1,1145,955,858,899,808,650,1658,1257,1011
HOG1,2991,2692,2668,2805,2911,2332,4960,3759,4051
HOL1,4823,5769,5007,6009,6049,4743,8472,7729,6609
HOM2,2969,2957,3056,1566,1901,1753,1973,1850,1701
HOM3,1599,1429,1318,1777,2041,1698,2253,1674,1684
HOM6,3081,2902,2605,2970,3025,2505,3240,2547,2667
HOP1,812,657,883,1304,1296,1025,1244,870,958
HOP2,0,23,19,21,84,55,47,34,46
HOR7,10945,11270,10626,17897,15762,13646,13707,11754,11359
HOS1,1357,1447,1580,766,1042,867,1271,1137,1209
HOS2,434,552,375,484,415,398,689,681,733
HOS3,1700,1725,1364,1337,1544,1435,1909,1621,1586
HOS4,1514,1139,1212,1189,1827,1402,2623,1912,2362
HOT1,648,652,500,745,629,670,1085,805,896
HOT13,550,722,571,262,417,404,497,488,490
HPA2,185,59,33,631,346,426,425,129,258
HPA3,913,1084,1330,1702,2313,2000,1707,1691,1442
HPC2,1544,1378,1521,1028,1085,827,1278,1049,1055
HPF1,2162,894,1053,4098,3762,3166,4189,2138,3357
HPM1,664,652,611,494,545,423,776,729,683
HPR1,285,203,231,547,449,279,947,431,691
HPT1,2270,1972,1808,2760,2635,2366,3340,2487,2415
HRA1,0,11,0,12,3,8,5,17,24
HRB1,10156,11185,11232,5425,5795,5377,6646,6265,5120
HRD1,803,466,616,1165,1495,1196,2151,1498,1897
HRD3,1459,1278,969,1448,1219,1121,1969,994,1349
HRI1,2783,3212,3428,527,792,562,685,702,574
HRK1,1023,1514,1179,910,1131,1092,2013,1232,1398
HRP1,1360,1260,1073,2394,2304,1998,2800,2458,2259
HRQ1,3153,2934,2698,1955,1764,1550,2293,2042,1853
HRR25,720,467,423,1313,1463,1069,2451,861,1788
HRT1,824,705,647,928,954,777,1322,1322,1255
HRT3,1508,2215,1559,1613,1722,1411,2153,2306,1962
HSC82,27268,32057,28970,17415,18233,15014,27979,22092,22772
HSE1,1255,937,789,1864,1870,1462,2161,1189,1841
HSF1,3589,3655,3177,3946,4541,4028,6348,5113,5319
HSH155,914,1023,622,732,762,721,742,656,721
HSH49,833,733,575,728,921,696,1204,890,919
HSK3,229,174,172,135,153,101,129,144,101
HSL1,2688,2585,2161,834,1651,1447,2086,1808,1421
HSL7,4263,3984,3205,4720,4741,3978,5687,4436,4391
HSM3,1228,1404,1401,1050,1086,1103,1077,1171,1109
HSP10,5051,5694,4656,1922,2127,2145,3315,2781,2518
HSP104,23908,29513,29754,24097,25495,22073,29445,26601,23092
HSP12,10074,10985,11240,40966,45885,36565,30980,29338,25093
HSP150,7164,6680,5240,10725,9607,8704,11864,8392,9114
HSP26,4489,4976,5160,65643,98403,91532,43902,41975,34111
HSP30,1401,1438,1198,12425,13640,12411,18668,15315,14314
HSP31,5479,6803,6460,8371,8854,7362,11974,11462,9327
HSP32,141,146,29,949,786,724,1340,1026,928
HSP33,62,107,61,957,970,526,943,704,702
HSP42,3414,3415,3094,14905,15249,14175,25453,21491,21206
HSP60,21975,24037,23270,10817,13019,11144,19517,18481,15973
HSP78,3446,3764,3283,11007,10897,9276,19093,15349,15052
HSP82,10861,12425,11412,26158,25143,21286,44392,33568,34878
HST1,5890,6165,5014,5240,5860,5001,5765,4789,4652
HST2,8000,6761,5943,11091,10371,8615,13580,10749,11470
HST3,1208,989,632,1089,1076,1079,2134,1433,1237
HST4,306,368,218,216,330,308,280,308,270
HSV2,3922,4245,3879,5146,5409,5136,9345,7307,7582
HSX1,0,0,0,0,3,0,0,0,0
HTA1,22541,22725,17695,9453,9853,9233,10875,9734,8812
HTA2,7524,8455,7567,2233,2464,2070,3986,3925,3481
HTB1,26824,27832,25715,5353,6299,5894,7918,7764,6760
HTB2,9291,9546,8451,3494,3408,2844,3745,2843,2741
HTC1,3314,4093,3277,1639,1425,1260,2529,2529,2404
HTD2,790,704,398,673,952,537,952,623,779
HTL1,272,179,192,481,201,221,416,230,278
HTS1,7258,8119,7126,2648,2961,2345,3349,3259,2991
HTZ1,1272,1179,844,1544,1610,1460,2108,1561,1494
HUA1,1738,1077,1015,3058,2722,2303,3799,2657,3302
HUA2,669,902,560,775,764,676,1191,1047,1125
HUB1,1068,1258,1130,601,924,690,758,923,604
HUG1,34,36,129,115,247,196,224,300,235
HUL4,1105,1064,776,1495,1474,1387,1902,1380,1347
HUL5,1801,1670,1351,1355,1591,1318,1748,1533,1397
HUR1,1225,1685,1400,454,1474,1296,1008,1016,623
HUT1,2590,2883,2916,1684,1606,1454,2268,2088,1640
HVG1,467,84,176,703,603,498,861,545,539
HXK1,43296,46845,42276,28083,29402,26598,47245,38825,38583
HXK2,21542,24610,23375,7457,8602,8101,7870,7476,5679
HXT1,933,880,840,1943,1870,1759,3153,2353,2233
HXT10,198,343,217,1067,1120,1066,954,735,724
HXT11,441,330,279,693,622,485,477,501,490
HXT12,243,117,100,507,337,287,551,335,309
HXT13,92,49,107,417,476,526,754,656,705
HXT14,102,13,67,61,70,111,80,102,71
HXT15,537,338,339,549,469,394,612,282,433
HXT16,66,65,71,69,38,51,93,29,74
HXT17,293,219,91,366,410,226,501,360,334
HXT2,1110,1021,940,9479,11779,11222,13980,13405,11192
HXT3,2228,2092,1925,4241,4166,3587,7961,6738,5762
HXT4,1058,947,942,1680,1709,1277,3170,3204,2388
HXT5,2095,1552,1113,36386,36510,32371,48053,29610,35563
HXT6,6226,6249,5883,6643,9586,8211,14621,14946,10081
HXT7,13018,13273,11906,4657,6408,6146,8512,8548,6067
HXT8,230,67,56,135,109,104,220,140,139
HXT9,291,173,113,650,556,402,429,276,269
HYM1,899,729,587,902,1065,855,1242,1076,937
HYP2,7471,6350,5253,7491,7222,5888,8045,6193,6087
HYR1,8258,10157,8525,7211,9088,7660,6569,6816,5657
IAH1,928,954,1077,1173,1558,1102,1461,1036,1161
IAI11,455,355,342,514,411,411,597,603,551
IBA57,1238,922,907,1577,1831,1549,2004,1335,1486
IBD2,704,984,753,801,600,471,658,564,571
ICE2,1226,1150,982,2189,2203,1606,1759,1636,1437
ICL1,7552,5942,4469,13484,13172,11230,17720,13540,13572
ICL2,1669,1626,1506,5429,5305,4785,6809,5791,5295
ICP55,937,1151,958,943,888,822,1575,1320,1112
ICR1,2369,2359,2164,1817,1865,1495,1582,1433,1109
ICS2,1560,1836,1472,4072,4528,3696,3458,2907,2849
ICS3,3265,3379,2810,2072,2859,2514,2482,2444,1632
ICT1,2567,1540,1370,2661,2265,2072,3199,2256,2355
ICY1,514,436,258,1494,1952,1789,2553,1741,1728
IDH1,2945,2860,2535,3370,3614,2659,4949,3709,3992
IDH2,2809,2782,2234,3202,3411,2844,5726,4026,3957
IDI1,1536,1695,1612,2240,2514,2158,2107,1741,1706
IDP1,2819,3916,3781,3277,2970,2445,3965,4288,3481
IDP2,2818,2819,2360,11610,14487,13427,18321,18411,15892
IDP3,414,616,408,1158,1369,990,1786,1330,1430
IDS2,1364,1277,1235,1325,1292,1172,1804,1642,1326
IES1,847,895,603,1251,1200,1091,1688,1184,1577
IES2,3197,3614,3531,2025,1887,1658,2448,2222,1907
IES3,956,812,545,735,918,710,1083,656,844
IES4,372,414,353,131,144,156,162,177,128
IES5,562,610,522,591,744,645,854,1170,849
IES6,2373,2339,1965,3269,3440,3213,4470,3771,3596
IFA38,1245,1142,772,800,877,671,1173,943,723
IFH1,1557,1471,1116,692,716,797,461,425,478
IFM1,929,1066,798,417,449,310,555,413,458
IGD1,2935,2339,1489,12323,12698,12554,21769,15703,17142
IGO1,4458,5108,4304,3609,4403,4086,5724,5749,4834
IGO2,1515,1602,1353,2350,3121,2716,3362,3271,2822
IKI1,773,709,666,684,1026,852,1087,825,761
IKI3,9288,11604,10104,6647,7010,5230,7672,7279,6335
IKS1,1413,1275,970,1685,1680,1660,2510,1965,1955
ILM1,2553,3422,3212,594,786,703,908,858,570
ILS1,9411,9976,8700,3147,4069,3847,4654,3745,3838
ILT1,655,665,494,1648,1629,1339,2078,1456,1763
ILV1,3390,3073,2687,2223,2494,2135,2716,1733,1714
ILV2,1586,1394,1341,2276,2499,2096,3367,1837,2323
ILV3,3812,3015,2803,2441,2731,2267,3674,2843,2675
ILV5,32297,20865,17013,12063,11620,10992,19070,13136,13670
ILV6,5054,5077,5380,5075,5150,4836,7916,7222,6119
IMA1,538,566,819,869,863,782,1546,1296,1113
IMA2,486,645,500,1200,959,988,1900,1909,1529
IMA3,0,2,4,0,6,1,3,1,5
IMA4,0,2,0,0,1,0,1,2,1
IMA5,1483,1508,1165,695,692,504,1004,900,779
IMD2,1602,1409,1384,334,322,255,675,431,420
IMD3,3978,3553,3755,2815,3253,2527,2431,2017,1885
IMD4,12448,11549,10038,3361,3861,3476,6588,5437,4865
IME1,128,63,77,219,155,159,320,151,225
IME2,746,565,555,503,811,596,939,718,637
IME4,0,0,0,0,0,0,0,0,0
IMG1,4737,6768,6525,3043,3112,3093,4834,4578,3897
IMG2,853,656,516,301,365,349,385,454,357
IMH1,1052,1278,1210,635,693,497,704,640,635
IML1,1013,965,847,710,1047,850,1294,828,1012
IML2,2074,1871,1576,1350,1759,1449,2950,2784,2518
IML3,987,513,404,979,657,661,1277,923,981
IMO32,1809,2157,1801,2851,2046,2102,2841,1899,2272
IMP1,1404,1222,1251,1029,1385,1244,1798,1655,1619
IMP2,521,444,415,732,908,920,1070,894,864
