Geneid,0P1,0P2,0P3,20P1,20P2,20P3,8P1,8P2,8P3
DAL81,1462,1325,764,1367,1650,1222,2038,1128,1493
DAL82,521,298,396,736,606,576,914,548,649
DAM1,518,283,218,683,616,541,1000,571,676
DAN1,29,17,29,202,177,177,209,131,140
DAN4,1375,1059,608,1613,1651,1509,1695,953,1437
DAP1,824,988,649,2069,2024,1989,2707,2501,2085
DAP2,3936,3708,3059,4573,5129,3998,5599,4255,4343
DAS1,314,402,214,556,710,567,900,518,650
DAS2,596,638,335,1043,693,628,989,608,715
DAT1,497,170,125,766,711,657,972,407,641
DBF2,1079,1061,876,849,687,747,1110,849,896
DBF20,482,313,304,344,470,314,584,492,503
DBF4,450,236,274,367,262,332,483,262,521
DBP1,572,504,268,1695,1599,1353,1615,1088,1472
DBP10,781,1159,764,528,666,499,938,497,529
DBP2,10434,7552,6326,5768,5826,5969,3744,2918,2944
DBP3,1755,1581,1752,891,1040,909,805,715,588
DBP5,881,1371,1027,730,643,703,656,651,547
DBP6,781,669,337,813,760,605,1091,645,641
DBP7,980,1200,1066,571,673,524,446,399,311
DBP8,845,774,810,721,546,584,607,548,577
DBP9,984,830,911,486,478,387,439,397,328
DBR1,1631,2021,1757,3473,3510,2946,3474,2875,2793
DCC1,904,579,612,722,1031,760,1169,857,960
DCD1,261,367,251,98,144,96,147,108,71
DCG1,458,415,457,388,309,283,452,359,373
DCI1,1170,960,623,1799,2009,1372,1738,1139,1371
DCK1,1683,1405,1076,1582,1905,1709,2782,2243,2198
DCN1,752,642,616,1122,1024,799,1022,901,790
DCP1,511,465,542,241,271,142,210,188,219
DCP2,3854,3599,2863,1915,2317,2014,3368,2347,2332
DCR2,743,703,616,1411,1250,1014,1391,996,915
DCS1,1407,1510,1169,2814,3306,2746,3945,3041,3209
DCS2,3252,3841,3527,13105,15122,13068,19704,18889,15884
DCV1,4,52,0,47,33,35,60,36,60
DCW1,2707,2059,1801,2897,3093,2174,4151,2928,2937
DDC1,414,482,403,486,498,373,548,434,442
DDI1,2054,1975,1961,2112,2853,2494,3203,2767,2715
DDI2,456,317,197,699,627,455,749,475,610
DDI3,558,504,436,848,747,520,744,627,494
DDL1,1322,1071,962,1089,1354,1058,1640,1581,1218
DDP1,998,1307,801,1465,1563,1571,1770,1330,1428
DDR2,2224,1832,1448,8815,9865,7560,7234,5974,5827
DDR48,2708,3479,3485,2668,3316,3015,2508,2346,2179
DED1,2496,1189,1156,2109,1663,1699,3036,1293,2087
DED81,5376,5993,5150,5250,5453,4731,7192,6062,6352
DEF1,216,107,80,197,340,320,664,296,365
DEG1,846,1002,849,323,321,322,397,414,318
DEP1,3448,3211,3081,2500,2407,2067,3060,2726,2699
DER1,677,581,629,523,588,555,793,619,492
DET1,1949,2272,2266,1041,1337,1269,1514,1558,1157
DFG10,661,256,176,587,723,692,895,580,610
DFG16,1443,1033,693,3134,2820,2523,4280,2129,3125
DFG5,1997,2126,1964,1875,2099,2253,2383,2083,1598
DFM1,1156,833,777,1852,1729,1397,1848,1205,1200
DFR1,933,1198,1082,777,816,748,1043,1095,738
DGA1,2858,2943,2869,2736,3304,2919,3787,3767,3000
DGK1,2310,2514,2044,1540,1756,1747,1700,1599,1388
DGR1,25,22,24,20,33,10,54,48,59
DGR2,1531,1060,1114,1462,1229,1108,1478,1189,1270
DHH1,346,175,87,558,644,537,1255,463,773
DHR2,461,482,368,150,248,197,218,185,203
DIA1,934,842,564,1267,1492,1193,1815,1216,1440
DIA2,1311,1286,1520,500,829,723,1041,1090,679
DIA3,256,264,234,1115,919,723,1012,814,689
DIA4,846,1155,935,533,533,648,772,744,698
DIB1,986,965,1015,1058,1518,1100,1660,1424,1230
DIC1,2124,1877,1334,6171,6719,5959,6852,5975,5663
