Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
TSTD2,4.957051,3.504544,1.535532,4.982026,5.508121,5.48662,6.075792
GABBR2,0.007567,0.040935,0.275355,0.003933,0.047632,0.00186,0.059362
HEMGN,0.033235,0.011143,0.351313,0.056493,0.051938,0.011551,0
PSMB7,11.671631,4.725769,3.180202,10.710514,20.219782,19.376637,25.252882
TRMO,5.163898,2.041612,0.896473,3.784701,3.130097,3.455875,3.724013
RABEPK,4.168911,1.113201,0.78743,3.261535,3.996603,4.61517,5.705966
GOLGA1,2.64573,2.322047,1.345052,2.740637,2.587632,3.011827,3.614146
XPA,7.31597,3.363747,1.889472,4.558197,7.229802,6.231769,6.905475
NCBP1,7.302819,4.994758,2.433371,7.296864,6.404434,7.138723,8.247836
ANP32B,3.87968,3.065949,2.445886,4.088138,33.574474,29.051693,34.903728
OR1L4,0.106502,0.094233,0.423513,0.241788,0.126661,0.02696,0.01884
PDCL,3.725619,1.519064,0.860409,2.933698,5.180416,4.025108,5.016417
RPL35,158.432281,30.449938,18.920782,77.386116,202.484665,187.810074,216.649597
CTSV,0.116375,0.252148,0.151998,0.265148,0.145688,0.244691,0.203466
ARPC5L,5.243322,2.500531,0.815514,3.876328,8.163362,8.307347,12.020723
ENPP2,17.789263,2.593406,1.150556,4.978609,8.1583,8.370115,10.448353
DSCC1,0.224493,0.066028,0.200515,0.203638,0.549177,0.339297,0.51398
DERL1,7.358392,1.374946,0.559508,3.619264,5.677832,5.357392,5.064426
MYC,0.939712,2.480278,1.025865,0.614942,3.457684,2.854837,1.568809
CCN3,3.257874,3.697937,0.61075,7.053749,6.515228,9.936794,54.397812
IL33,1.488556,0.885114,1.100221,1.173165,3.520189,4.468315,4.792163
DMAC1,6.629679,1.558388,0.90661,3.89381,8.478502,8.243974,10.473403
RANBP6,9.034732,2.061857,0.971393,5.062238,6.129704,5.709571,6.667197
POLR1E,2.22088,2.415985,1.064145,2.478945,3.933772,4.479653,4.92503
PLAA,5.560152,2.193875,1.033053,4.479554,7.233979,7.325265,8.689109
IL11RA,0.800818,0.905241,1.02294,1.406725,1.980606,1.218847,1.866385
UBAP2,3.128761,2.451942,2.049947,3.422352,3.858746,4.600727,5.299789
APTX,2.373246,2.114,1.356825,2.895994,2.016714,2.307088,2.597658
RNF38,2.775432,1.736915,1.977608,3.054071,6.124418,4.642338,5.866392
TLN1,9.820605,10.390702,5.531981,11.728559,30.160688,22.698118,29.744633
CCL21,0.080535,0.126117,0.348939,0.208656,0.569939,1.3018,1.008001
SIT1,0.035577,0.05331,0.143315,0.090285,0.382089,0.029319,0.179336
DNAJB5,2.778453,4.179436,0.79041,1.995306,7.113437,5.295465,7.772448
SPAG8,1.608159,1.31112,1.65897,1.710119,0.616092,1.320147,0.841829
DCTN3,12.841802,3.789496,1.668355,12.43531,24.44594,26.016153,29.099957
CD72,0.23024,0.243852,0.173531,0.250579,1.504785,0.756919,0.724745
TMEM8B,0.58756,1.145926,0.632524,1.509015,2.428502,2.128079,2.414194
GRHPR,8.555846,3.631142,3.10185,9.417005,12.572346,14.143675,16.031841
ALDH1B1,0.831458,0.450257,0.27645,1.008679,1.612972,1.842374,4.429633
HINT2,5.815166,1.722327,0.616742,2.813231,12.948909,12.706882,11.883432
ARHGEF39,0.271723,0.270764,0.281218,0.269728,0.345621,0.200479,0.245692
IGFBPL1,2.011041,0.678402,0.346922,1.928076,0.992147,1.840469,1.951774
DENND4C,8.092737,6.195163,3.741518,9.718772,8.540833,8.936246,11.853215
RPS6,227.352097,54.214687,30.960344,139.704971,189.856873,225.585831,206.42009
CNPY3,5.265943,3.165812,2.077064,5.285071,12.300507,14.952888,16.303154
FOXP4,0.309152,0.901637,0.546478,0.599049,5.367938,4.865239,5.662746
PPIL1,7.362289,1.919002,1.448391,5.087237,8.852233,10.122991,12.865355
KLC4,4.084696,1.735434,0.948295,3.381533,3.736115,3.043644,3.431708
KIF13A,2.651609,2.700033,3.238598,4.093081,2.651777,2.689356,3.039892
ZSCAN9,3.33539,1.532579,0.774579,2.595598,2.297771,2.518272,2.705775
PIM1,1.119938,4.930105,0.875871,1.544558,4.124549,4.313527,2.511365
GMPR,3.050297,2.306959,1.772596,3.297735,7.611201,9.38408,8.441848
CMTR1,7.028968,5.320717,1.986579,9.298769,8.590123,9.307689,8.398171
TFAP2A,0.014168,0.022214,0.133461,0.020373,0.032462,0.04399,0.089246
SLC22A7,0.035331,0.047753,0.106575,0.024128,0.006533,0.038659,0.010922
YIPF3,13.642004,6.329682,2.530629,13.355891,25.16893,26.38205,30.894796
TMEM14B,13.931942,4.269994,2.803834,9.63805,15.758899,13.085649,18.47374
TMEM63B,1.710744,1.754264,1.193658,2.114765,3.428389,4.256473,4.741757
FRS3,0.263221,0.158319,0.23306,0.353054,0.903562,1.032707,1.149269
TJAP1,0.986184,1.017845,1.080622,0.693131,1.787561,2.090953,2.136278
CAPN11,0.015446,0.028174,0.190681,0.033422,0.006978,0,0.013693
KIAA0319,1.971454,1.182303,0.33496,2.333244,2.111742,3.532612,3.326742
IRF4,0.047545,0.52842,0.375625,0.065461,0.857392,0.015571,0.123414
SLC22A23,1.316433,2.59665,1.454518,1.944605,3.228331,2.515912,3.643864
TUBB2A,6.011717,7.226826,2.962306,5.576096,17.343517,20.57159,27.114983
LRRC1,1.297288,1.257025,1.138592,1.216998,3.325832,2.12007,2.904039
FOXF2,0.268318,0.21011,0.816374,0.290002,4.541076,1.033077,3.484924
BPHL,2.802554,1.39545,0.881574,3.931059,4.657771,4.311542,6.267749
RIPK1,1.678431,1.710194,0.402028,0.863187,1.89022,1.312204,2.602708
TUBB2B,5.447622,5.96462,3.698456,5.166879,15.609341,15.978115,20.634274
UQCC2,6.94409,2.137107,0.810004,5.984809,9.91651,10.404433,10.666193
HMGA1,0.677783,1.608043,0.651283,0.883574,4.845593,3.544213,5.221599
TCF19,0.01303,0.020171,0.032589,0.018472,0.185496,0.148192,0.186789
FLOT1,1.476766,1.238117,0.824478,1.439044,3.459629,2.79775,4.495507
TRIM26,0.347052,0.25656,0.169581,0.37682,0.885009,0.705894,0.592424
IER3,0.02968,0.38776,0.128007,0.044627,0.558696,0.317961,0.509217
DDR1,0.848784,1.33129,0.512671,1.578519,2.554472,2.555577,3.076389
MDC1,0.6778,0.695669,0.453231,0.34538,0.686093,0.650537,0.773937
PGBD1,0.85556,0.591676,0.37909,0.961181,0.890568,0.82834,0.948924
ATAT1,0.287924,0.344413,0.228947,0.388961,0.495245,0.642663,0.599562
TPMT,3.534947,1.127472,0.747131,2.353253,4.362582,4.234747,5.447312
RNF144B,0.673912,0.650568,1.082712,0.701154,3.047525,0.764793,1.895155
TRIM31,0.001394,0.000987,0.018528,0.001982,0.000207,0.00461,8.00E-06
HLA-F,0.405721,0.146089,0.194796,0.66725,1.105349,0.498455,0.298527
NRM,0.020445,0.026347,0.048645,0.021673,0.136035,0.139769,0.109529
MTCH1,35.751022,24.923412,7.467588,30.967045,62.182575,65.14373,69.808441
VARS2,0.316712,0.457753,0.196039,0.365933,0.593245,0.499132,0.643324
TAF8,1.380745,0.802257,1.146342,1.523804,3.453697,2.198236,2.799853
FAM8A1,12.296619,3.627678,2.218773,7.292676,14.553353,13.757025,16.734459
C6orf52,0.131642,0.065034,0.086006,0.072319,0.171858,0.239169,0.417063
FGFBP2,0.043477,0.046794,0.100774,0.108485,0.099731,0.001138,0.041696
CPEB2,2.344031,1.654392,1.32726,2.109436,3.500554,2.646407,4.028408
FHDC1,0.426916,0.27403,0.334571,0.425769,1.009274,1.938625,1.570778
TLR2,0.820665,1.082737,0.905357,0.309927,3.449137,0.685576,1.763894
MGARP,1.844352,1.539509,0.733096,2.809198,3.25438,8.177451,8.426455
TTC29,0.042688,0.045503,0.284705,0.021248,0,0.042224,0.056038
MYO7A,1.254113,2.525417,1.724146,1.659655,2.952035,3.523038,2.57203
FCHSD2,1.537746,1.797711,1.972632,2.018923,5.478819,3.68649,5.180525
ARRB1,0.340203,0.560662,1.692429,0.589331,3.82091,0.78514,1.881286
SLCO2B1,1.016056,1.017326,1.232684,0.958396,16.419725,2.210212,6.244563
THAP12,4.485261,2.177389,1.625583,2.408231,6.28533,5.371698,6.638882
ANKRD42,3.441274,2.485421,1.29412,3.815211,4.864665,2.96576,5.493351
IL18BP,1.402135,1.746495,1.007963,1.682053,3.5564,4.664093,5.741306
NUMA1,5.337355,4.726079,4.148225,7.386778,11.927561,10.468408,10.737262
CCDC90B,9.643708,4.070838,1.903619,6.804828,10.284035,10.672717,11.075665
SYTL2,2.757302,1.685086,1.40591,2.55582,1.961788,2.422341,2.257951
RAB30,3.598216,2.207984,1.745059,4.481527,4.084739,4.391381,5.049956
CREBZF,12.203807,5.243778,2.548932,8.431422,6.908645,6.578932,6.723634
LRRC32,0.410724,1.286795,1.466654,0.605535,6.020963,2.380411,4.1602
PRCP,8.742448,3.403307,2.341273,6.998579,16.71093,14.714157,17.60236
NARS2,5.254608,1.525614,0.580506,3.135951,2.255871,2.885947,2.653371
RNF121,3.526171,2.985543,0.809541,3.976257,4.227057,5.162242,5.600554
MRPL15,4.743757,0.893013,0.845062,3.031532,5.290875,5.22903,6.624256
PI15,0.208657,0.172688,0.221967,1.203386,0.406451,0.097496,0.059975
TTPA,0.023837,0.023319,0.38585,0.031288,0.011859,0.003545,0.014868
GGH,0.647475,0.084533,0.976405,0.18692,1.343711,1.110282,1.615408
SLCO5A1,1.135317,0.976756,0.633622,0.800254,1.596502,1.43845,0.944345
SULF1,3.424361,3.447612,3.948433,3.30751,13.118363,4.689245,10.798944
TGS1,3.748446,1.770147,1.104854,3.102882,3.995376,4.177872,4.423417
SDCBP,12.150616,6.528657,4.467444,9.361462,39.878429,18.936974,25.475222
NEK1,4.830451,3.828833,2.149427,5.046488,5.026276,5.270605,5.388013
DDX60,3.171857,0.746129,1.735157,4.096803,5.192144,4.937932,5.576475
NXPE4,0.035899,0.078633,0.131986,0.02405,0.036551,0.029869,0.033637
SORL1,24.77722,15.595318,5.739808,27.605307,26.680311,30.550911,30.814621
BUD13,3.746858,1.278519,0.835743,2.623285,3.772868,3.92362,4.286771
TRPC6,0.358872,0.14169,0.439464,0.217208,0.155307,0.09446,0.297849
CFAP300,1.940915,0.964071,0.908606,1.394576,2.095172,2.419647,3.435116
DCUN1D5,2.236116,0.835492,0.553967,1.643831,3.181682,2.971973,3.608061
YAP1,1.261291,2.530933,4.12852,1.825048,8.785611,4.264883,8.868196
TRIM29,1.020435,0.549971,0.968579,0.591245,4.761541,2.935127,4.758884
SLC37A4,0.446351,0.197696,0.150001,0.366387,1.370373,0.732466,0.722885
POU2F3,0.08626,0.154173,0.401873,0.10615,0.109558,0.069137,0.277915
RDX,13.858984,7.522412,4.63128,9.105444,20.704844,21.879745,26.495821
PPP2R1B,4.30163,5.928183,2.283235,4.283501,4.873128,2.058926,4.751103
FDX1,2.740899,1.109604,0.569292,1.70782,4.430618,4.680073,6.772505
C11orf1,1.985237,0.515874,0.651714,1.522624,3.191489,2.586513,3.14242
FXYD6,11.746395,10.671315,3.649822,11.367905,55.623028,56.107468,49.074375
ARHGAP20,0.657744,0.389711,0.443148,0.584194,0.603611,0.411755,0.958335
FXYD2,0.071205,0.206822,0.171504,0.057039,0.510359,0.123343,0.133285
TMPRSS13,0.033934,0.032873,0.17334,0.032714,0.028673,0.019272,0.044598
CASP1,0.96035,0.499726,1.01823,0.740748,2.273523,1.190488,1.497781
ALKBH8,2.051529,0.678549,0.5231,1.800304,1.665638,1.810211,1.981365
MAP2K5,3.322671,1.036133,1.255332,2.035297,4.637512,3.978855,4.864121
UNC13C,2.941257,1.591217,0.410265,1.797286,0.529965,0.531886,0.45457
SQOR,1.694369,1.446646,0.951322,1.873865,5.130693,4.479206,6.205497
CTDSPL2,5.482366,2.764598,1.59928,3.854682,5.698554,6.726842,6.593767
SLTM,17.883928,11.14097,5.519079,17.401028,11.075991,14.455956,10.798426
THBS1,2.523015,57.024353,6.847153,4.588992,22.394592,8.784081,10.373763
MAPKBP1,1.964928,2.426129,1.590114,2.441283,1.713425,2.085976,2.213685
NUSAP1,0.095982,0.107564,0.232088,0.201716,0.421647,0.300918,0.450035
NDUFAF1,3.871807,0.908142,0.766714,2.578695,3.716417,4.839582,4.548399
KIF23,0.037944,0.022674,0.152129,0.034634,0.080894,0.104509,0.030863
ITGA11,0.164566,0.355228,0.364332,0.28491,1.367628,0.47386,0.664569
KNL1,0.069788,0.030678,0.213273,0.077983,0.226072,0.044833,0.13514
HAUS2,2.976469,1.522109,0.902475,2.05722,3.635115,3.868356,4.592046
RTF1,2.973564,2.678401,1.490728,3.209881,7.180305,7.253558,7.60948
PARP6,3.766245,6.473197,5.136415,8.457033,6.093231,4.709669,6.347834
RPLP1,34.263638,12.44412,10.656496,24.599386,118.924644,126.550262,154.055939
PAQR5,0.055354,0.194468,0.378475,0.08389,0.287112,0.100046,0.081236
LRRC49,9.258064,2.556391,1.086299,6.022147,4.953216,6.314069,5.055321
TUBGCP4,2.07588,2.007635,0.945733,2.137088,2.500613,2.850691,2.910072
RMDN3,2.031409,1.436417,1.037511,1.51926,4.275804,4.289573,5.045455
ITPKA,0.01104,0.030169,0.102207,0.016349,0.027822,0.020162,0.100079
UACA,2.68372,3.168132,3.300874,3.168854,9.048907,3.226711,5.300854
SMAD6,0.208935,0.437163,0.809893,0.33469,1.986086,1.313555,2.166232
PLCB2,0.342847,0.462756,0.924612,0.524165,1.660766,0.230096,0.877362
TMEM62,3.290136,1.662942,0.978722,3.17151,1.820289,2.229838,4.363158
PAK6,1.149899,1.854857,0.374872,1.864371,4.051914,5.037476,5.86628
ADAM10,6.494444,4.241409,2.201773,7.404502,8.999076,7.525959,8.05391
DUOX1,0.102099,0.218682,0.717964,0.183219,1.374213,0.428793,0.817654
SLC28A2,0.055862,0.023251,0.120248,0.030442,0.011088,0.017387,0.049361
STRA6,0.348186,0.188193,0.135323,0.055926,0.830599,0.742184,1.302527
CYP19A1,0.029794,0.031504,0.142948,0.019295,0.023966,0.000265,0.002954
ZNF280D,14.348143,5.091919,6.095463,16.654791,8.891799,10.608027,9.036874
SEMA6D,0.97494,0.687213,2.599483,2.32167,2.499182,1.385879,3.629694
BCL2L10,0.170342,0.068242,0.213583,0.238901,0.260122,0.497166,0.496161
RSL24D1,29.850567,4.682798,2.844939,14.039111,19.755198,19.057011,20.912617
SPTBN5,0.276224,0.57191,0.465389,0.258249,0.396727,0.254211,0.172557
GCOM1,0.929548,0.457426,0.535818,0.707478,1.195335,1.154504,1.454731
GCHFR,0.167234,0.119145,0.074346,0.136227,0.180772,0.278818,2.443307
BCAR3,0.17794,0.234076,0.427334,0.275273,0.193369,0.23773,0.460208
TTLL7,8.597095,5.481908,2.342499,6.785277,7.980351,10.542377,8.597752
FNBP1L,5.879848,3.496493,2.573125,5.199248,6.553201,7.213906,7.77044
KYAT3,8.28593,3.442504,1.74828,4.212396,9.170465,10.4394,9.874232
GTF2B,10.68822,4.205567,1.688345,5.463464,9.804632,8.947268,8.117537
RABGGTB,10.507019,4.306575,1.917421,6.563079,8.761646,8.173836,9.694396
IFI44L,1.021693,0.574916,2.773995,1.8996,5.92353,2.060601,3.670764
GIPC2,0.666568,0.537045,0.36491,0.638831,0.938238,0.961461,1.124103
ARHGAP29,2.708573,1.852036,1.846184,2.632421,4.29414,2.898391,3.175689
IFI44,2.921346,1.869843,3.092756,4.575462,8.789567,4.37467,8.303391
SLC44A5,0.290914,1.339504,0.897427,0.916351,0.773413,0.967174,0.41166
DNASE2B,0.12929,0.009132,0.206099,0.022768,0.358667,0,0.05839
DBT,1.371112,0.703079,0.556363,1.458111,2.71158,2.632558,3.428987
RTCA,4.382989,1.482282,1.132722,3.828951,6.935475,7.407359,8.60089
IFT172,8.684737,7.916265,5.304319,13.176848,7.351352,9.433416,9.123833
SELENOI,3.832804,1.250255,0.486669,1.849278,5.942653,3.3372,4.070372
CGREF1,0.134584,0.323042,0.41253,0.361093,0.979482,0.963174,1.198074
HADHB,22.567602,8.672771,5.11273,16.720997,25.773901,25.402199,39.447361
KHK,0.112283,0.073951,0.34977,0.361496,0.284795,0.289975,0.277411
ADCY3,1.782735,1.316177,0.77534,1.479685,6.926054,4.509313,6.86387
PPM1B,10.041362,4.247662,2.350717,8.19227,15.288672,12.442951,15.064077
PNPT1,3.466753,2.098463,1.495492,3.081164,3.450148,3.196792,3.82591
DYNC2LI1,13.963153,5.193353,1.999524,9.168266,9.905169,14.76085,15.592874
LHCGR,0.061982,0.105085,0.767879,0.059973,0.140983,0.007244,0.040256
THUMPD2,4.343934,2.330448,1.188217,3.491696,3.012156,2.279113,2.156519
CYP1B1,0.287903,3.251215,2.261322,0.532656,20.851738,1.69422,9.605675
SULT6B1,0.021127,0.037648,0.156375,0.009453,0,0,0.00221
RAB1A,24.901445,9.946838,3.800446,18.164183,28.266277,29.479988,36.503555
ACTR2,17.728922,8.139938,4.951166,14.64647,45.801502,38.383442,43.771542
PREB,6.428969,2.413978,1.053617,5.965349,6.378901,9.228818,12.886333
SLC5A6,1.371754,0.913478,0.592144,0.966161,1.93504,1.870782,2.326969
ABCG5,0.05743,0.050947,0.160696,0.05465,0.038501,0.035233,0.024446
PREPL,36.82494,12.9936,5.286318,24.589306,25.487335,30.547432,46.940567
SLC3A1,1.652265,0.901151,0.381017,1.629273,0.520045,0.336021,0.20757
EMILIN1,0.384486,1.023298,1.035279,0.506146,11.40293,4.035369,7.387252
FBXO11,5.659781,3.127545,1.915129,3.747519,7.009522,7.272177,7.307015
SIX3,0.826719,1.281194,1.638932,0.889179,7.355564,11.873425,9.403749
ATRAID,19.93726,4.740348,3.356858,13.799889,26.423649,26.382521,32.72842
CENPO,1.018387,0.741949,0.441239,1.152195,2.278419,1.778664,2.431015
LRPPRC,16.747107,5.786289,3.05772,12.658731,16.425489,16.140469,18.981174
TRIM54,0.04794,0.032808,0.164401,0.014313,0.015472,0.007706,0.036866
DTNB,0.933991,1.49593,1.139009,1.315283,2.201911,0.852713,0.998945
ACTR1A,11.396702,6.801996,2.964041,12.657671,17.507095,18.941885,20.39065
MFSD13A,0.370503,0.286041,0.189971,0.443159,1.109457,0.593434,0.989556
CYP2C8,0.752552,1.295903,0.988615,1.315257,0.355551,0.2414,0.229963
MYOF,2.64739,2.48904,2.772382,3.825074,6.936337,4.588415,6.222535
LOXL4,0.277359,0.303293,0.34404,0.389304,0.697819,0.433281,0.863923
STAMBPL1,5.793642,2.029112,0.951212,3.811787,3.334752,5.047788,4.478481
CH25H,0.117292,3.196759,0.67866,0.355345,1.760591,0.581983,1.364514
ATAD1,11.355357,3.271544,1.479025,8.128163,11.031848,10.122801,12.039353
BTBD16,0.053118,0.137163,0.209762,0.065112,0.015752,0.035225,0.072158
KIF11,0.329045,0.046909,0.095447,0.110774,0.716684,0.695156,0.649585
CUZD1,0.563539,0.139378,0.255294,0.58484,0.126903,0.148802,0.188792
TACC2,4.70962,12.163673,2.477499,3.8581,6.946533,2.667951,1.70502
DUSP5,0.521739,4.230704,2.893245,0.841487,3.011939,1.22452,3.115538
CALHM2,0.28569,0.253585,0.545633,0.356965,3.230347,1.020998,1.826091
ARL3,5.837762,2.111846,0.96083,4.834762,8.538606,9.834862,11.085776
CEP55,0.161914,0.056158,0.256014,0.100931,0.306765,0.198172,0.283464
KIF20B,1.649012,0.443278,0.32309,0.821606,1.235104,1.619303,1.200161
ENTPD1,0.652788,0.668173,0.616018,0.967006,1.308443,0.503637,1.222118
EXOC6,9.71637,2.801925,1.796574,5.616141,5.863109,7.063458,7.431147
PLCE1,0.222014,0.442394,0.347271,0.265405,1.684301,0.494424,3.335292
RBP4,26.554623,4.647986,0.396589,12.513132,279.328125,75.259789,235.006638
DBR1,2.849894,1.029742,0.822001,2.123643,3.873259,4.074336,3.972972
DNAJC13,6.527921,4.064729,3.327634,7.293121,7.627662,6.56532,7.646176
GPR87,0.783017,0.601278,0.361223,0.572606,0.63558,0.695589,0.482678
ANXA7,29.59586,9.829013,2.750582,21.703375,30.437489,32.331062,30.868818
FAM149B1,4.408665,2.992104,1.731815,3.220373,2.57407,3.754929,3.480711
ASCC1,2.605446,1.125095,0.686145,5.477264,2.1293,2.36256,2.358103
ZNF365,3.804967,2.415936,0.677004,2.695941,3.734795,5.04334,5.751604
OIT3,0.034633,0.082125,0.197023,0.020463,0,0.007494,0.00095
ADAMTS14,0.02297,0.024786,0.094198,0.013679,0.023853,0.004549,0.008247
RPS24,342.621368,59.984791,52.67091,178.308853,301.789124,274.294922,298.048096
TET1,1.198658,0.661368,1.038581,1.385564,1.28238,1.114868,1.497914
DNA2,0.589794,0.526517,0.446609,0.804618,0.475856,0.483343,0.544911
MYPN,0.029095,0.04879,0.18899,0.02708,0.021196,0.010832,0.02214
AOX1,0.162371,0.593988,0.562088,0.16534,3.93091,0.375711,1.622993
ATIC,5.722435,3.91199,2.040392,6.29723,13.016728,15.051251,14.283474
SMARCAL1,1.926791,1.873229,0.641081,2.851332,3.05138,3.930353,3.994354
BARD1,3.258655,1.016824,0.597747,1.847757,2.193133,2.304821,1.136059
STAT4,2.223395,2.137342,1.018971,1.428581,1.072316,1.529546,1.698612
MSTN,0.414331,0.11896,0.296868,0.308615,0.144443,0.184122,0.355616
CARF,3.3784,2.121452,1.472317,3.189898,2.710608,3.599465,2.512559
ASNSD1,11.346649,3.076002,1.894803,9.892579,11.579532,9.047261,12.92533
METTL5,11.87098,2.778579,2.062757,7.330161,10.466768,10.445218,9.224591
SSB,25.616417,10.26261,5.727937,18.348206,27.472715,32.507286,33.478016
NAB1,5.984049,3.599577,1.868151,3.955204,7.513824,6.841816,14.658039
CDK15,0.061521,0.152199,0.222437,0.095455,0.161676,0.08493,0.147172
PPIG,13.253137,8.519496,2.978732,7.637739,13.741751,13.801129,15.652332
FASTKD1,4.137223,2.022423,1.221231,4.069016,2.473189,2.984201,3.066928
MDH1B,6.129915,1.657769,1.016674,4.282413,2.858871,3.725956,3.041768
HECW2,1.879639,1.939693,1.139046,3.07901,1.41351,1.834529,1.730041
IDH1,8.555724,3.376606,1.976386,8.789227,18.252108,11.973634,17.417852
OLA1,7.059322,2.483786,1.532354,5.272549,9.834332,10.469365,10.676867
CIR1,9.591998,4.486201,2.683618,7.640025,13.041693,13.442058,13.626533
ITPRID2,8.953316,9.553953,5.644539,8.580262,17.668257,13.330664,20.732306
CHRNA1,1.514538,1.231992,0.123312,0.105983,1.256872,2.36797,1.772959
FAM117B,2.854606,1.33757,0.735674,2.210209,4.721158,4.009791,3.624837
WDR12,2.055772,0.756231,0.713737,1.875229,2.201944,2.208733,2.345803
ABI2,4.286914,3.450511,1.355445,3.477498,5.545413,5.540953,7.494534
ITGAV,13.972529,6.971058,4.283485,7.650709,20.694605,11.219378,18.409946
SLC40A1,16.311766,5.19238,3.425611,9.06287,27.928738,17.259296,28.890373
SLC35A5,5.521295,2.079136,1.493784,4.733693,6.171211,6.170426,7.122396
SLC49A4,4.069331,1.657457,0.919295,3.534446,5.54173,5.068771,5.820012
SENP7,8.894173,4.785886,2.740894,8.215614,5.477998,5.608943,5.480382
CCDC54,0.050291,0,0.26608,0.125241,0.001748,0.079743,0.041308
COX17,24.658485,5.829456,1.387275,15.338998,53.15284,61.77367,66.646912
PARP9,4.56037,1.149483,2.76511,4.968248,7.067717,6.793825,6.384731
MNS1,3.220343,1.405502,1.009999,2.042964,1.56949,2.150423,1.285694
USP8,2.203996,1.707093,0.940343,2.104265,3.218848,2.909384,2.85726
SECISBP2L,8.949286,7.261656,4.274104,8.337756,12.374261,12.557102,14.248153
TMOD3,1.149087,1.200008,0.719353,1.204261,2.346501,3.521085,1.457507
SPPL2A,3.323223,2.17219,1.571642,2.469504,6.752116,5.2618,6.730362
GLCE,5.963846,2.754181,1.5712,4.532617,7.06071,5.641483,6.239981
SHF,1.084314,1.085691,0.314053,0.935491,2.945023,2.249716,1.768654
APH1B,3.880415,1.591997,1.670161,2.947253,4.420107,4.696529,5.886766
INTS14,6.470587,1.914251,1.232696,5.287344,7.491325,7.830332,9.400756
CILP,0.069276,0.157316,0.151128,0.133415,0.127842,0.071346,0.167391
PARP16,0.889265,0.527323,0.399671,0.948164,1.617191,1.868247,2.307083
PPCDC,1.061013,0.733288,0.712636,1.345806,1.657909,1.504194,1.524254
HCN4,0.074248,0.198374,0.148423,0.108995,0.535051,0.629683,1.203025
SEMA7A,0.125562,0.727409,0.207606,0.158482,1.159347,0.564948,1.32142
UBL7,1.689961,0.789119,0.403994,1.637712,3.549135,4.369896,4.120136
ARHGAP24,0.508877,1.020553,1.672138,1.89428,0.620089,0.331717,0.245057
FAM13A,1.688817,2.260595,1.973294,2.745774,1.424572,1.875742,1.593149
HERC3,6.284543,4.211594,1.709087,6.684224,6.790459,8.386467,7.525467
HERC6,1.658894,0.892055,1.182597,2.120941,4.008224,3.045318,3.85556
HERC5,2.142427,0.870813,0.803275,1.698312,2.764477,2.440821,2.853171
PCDH10,0.603738,0.640486,0.302106,0.585021,1.807689,1.409742,1.803154
NDST4,0.184525,0.164605,0.130169,0.504613,0.154047,0.200428,0.160428
ZGRF1,1.150545,1.281246,0.693557,1.148613,0.566207,1.305868,0.499733
AP1AR,1.821167,0.652596,0.667512,1.298491,2.032109,1.997416,2.002691
COPS4,26.734585,6.182131,2.58267,16.177364,18.131432,21.771448,21.872707
HNRNPD,7.915716,4.756943,2.578886,7.722195,25.807116,17.671835,21.671265
PRKG2,1.775224,1.178899,0.104633,3.251864,2.397061,2.260035,1.41752
RASGEF1B,4.668332,3.431059,1.419803,3.415368,3.493205,3.578303,2.72235
SEC31A,22.576483,18.371847,6.023074,26.412685,25.386431,25.816414,34.829365
GPAT3,2.117991,2.505858,0.671193,1.859634,2.320376,3.262854,3.139798
FGF2,1.22444,1.296813,1.401524,1.036406,3.287623,2.330473,4.399248
BBS7,5.99952,4.032749,1.541852,4.922763,6.702805,7.071238,7.84762
KIAA1109,18.637094,18.905857,8.921506,23.753042,22.215668,25.843327,24.149601
BMPR1B,0.257665,1.095327,0.911429,0.576221,2.763705,1.475673,1.701329
RAP1GDS1,11.6994,4.135438,1.497372,10.012753,10.318706,9.589734,8.821382
LARP1B,8.548297,2.932066,1.607868,4.205295,4.246143,4.383976,6.385789
MMRN1,0.12422,0.072335,0.536768,0.108781,1.79029,0.200434,0.406655
PDE5A,2.378582,1.840852,4.276266,3.172319,8.924283,3.474148,5.730334
PRDM5,5.358634,1.286385,2.336138,3.479692,4.991152,4.506576,4.946952
TRPC3,1.920043,2.229491,0.371303,3.88994,1.8241,5.55416,5.995801
NAAA,2.214892,1.10123,0.784228,1.872071,3.341305,3.501221,3.436518
NUP54,8.660182,2.92297,1.929263,3.670314,5.901237,5.365301,6.359253
CXCL9,0.115092,0.23322,0.35615,0.088244,1.130626,0.600926,0.92633
BMP2K,1.935776,2.174293,1.835094,2.357114,6.337478,2.761553,4.538624
G3BP2,12.733605,11.151621,3.218753,18.703524,41.498611,35.05069,38.703503
SEPTIN11,4.547951,3.017252,4.031724,5.855887,15.622943,8.156403,11.128473
FRAS1,1.223119,1.905371,1.282283,1.489167,2.326181,2.49672,2.554315
SCARB2,14.650673,10.701669,6.779955,15.429013,31.689342,27.332546,31.611244
CCNG2,2.04522,1.091974,1.371639,3.11902,4.472544,3.777424,4.841557
CNOT6L,8.404862,4.832526,1.724625,6.382018,9.786827,10.772785,15.637325
USO1,32.157051,11.119398,4.160194,22.286623,26.770334,34.398083,40.851444
CDKL2,1.647427,0.838699,0.40615,1.922808,1.473711,2.817735,2.35714
SHROOM3,0.654421,0.823174,1.484195,0.6071,0.597372,1.271154,0.700838
ANXA3,0.81627,0.724889,0.868112,1.417161,2.95181,1.707471,3.156645
