Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
TRADD,0.775744,0.538088,0.269969,0.913291,2.652186,2.798065,2.978815
HSF4,2.321752,4.498312,1.521147,3.965802,2.720199,1.759634,3.031914
CORO1A,0.621245,0.352218,0.251629,0.222091,6.582445,0.837144,1.177578
MAPK3,3.325385,3.138141,2.025839,2.798337,14.859742,15.018441,16.20133
GDPD3,0.179564,0.596589,0.263887,0.381612,0.308335,0.108712,0.38379
ELMO3,2.829544,1.686943,0.43259,2.950733,5.384581,6.655526,5.807638
PHKB,5.43286,4.1773,2.659957,5.314754,7.018242,7.802085,6.976215
LYRM1,5.724727,1.462655,1.113851,3.619131,5.265167,6.906446,6.73216
NUTF2,5.30635,3.180176,1.316438,5.107545,11.870216,12.514624,13.291937
NUP93,2.051617,1.339129,0.852545,2.275168,1.986962,1.784891,1.947043
CENPT,2.269402,1.75801,0.484481,1.468823,1.270038,1.669452,1.33983
TSNAXIP1,1.135731,1.0148,0.523078,1.675755,1.187406,1.366693,0.853381
NFAT5,5.869646,9.898868,5.130845,7.201327,15.671611,13.363987,14.277915
LONP2,10.167334,8.566654,4.192679,11.456412,11.496697,11.820551,13.618759
N4BP1,4.76394,2.535302,1.369714,4.223945,8.375708,8.32027,8.436511
CBLN1,3.399365,0.223824,0.313356,0.891069,1.431809,1.117601,1.689086
ARL2BP,1.916241,0.36343,0.312542,1.236328,2.337671,2.361654,3.489027
PLLP,2.116073,0.899414,0.881542,1.669722,3.153463,3.073145,4.573833
ZNF423,0.406009,1.031278,0.828061,0.886269,2.928177,1.941478,2.335932
DHODH,0.578429,0.399631,0.267103,0.856014,0.928982,1.10511,0.841482
CTCF,5.863885,2.787279,1.901863,4.982176,8.615852,9.124775,9.86317
ACD,1.191972,1.739952,0.690242,1.673239,3.318148,3.616448,4.072379
POLR2C,16.693825,6.011406,2.102017,14.270909,20.057447,20.555965,24.419275
PARD6A,3.114174,2.104819,0.521665,1.715742,6.452631,5.984153,7.055258
ZNF821,1.736122,0.804908,0.494346,1.93396,2.832106,3.903324,3.369934
MMP15,0.670316,1.11782,0.431736,1.439057,3.81526,5.787523,4.095384
USB1,1.249067,1.619795,0.536654,1.524737,4.211152,4.011837,5.360906
CYB5B,4.688493,3.649986,2.768813,4.409057,6.878632,5.729637,8.013648
